File	Mentions
GEM_1930_39	Albert Kuyle
GEM_1930_39	Albe
GEM_1930_39	Charles Eyck
GEM_1930_39	Jan Engelman
GEM_1930_40	Dirk Coster
GEM_1930_40	Anton Reichling
GEM_1930_40	Gerard Wijdeveld
GEM_1930_40	Ernest Michel
GEM_1930_40	Anton van Duinkerken
GEM_1930_40	Frederik van Eeden
GEM_1930_40	P.C. Boutens
GEM_1930_40	Jan Engelman
GEM_1930_42	Jan Engelman
GEM_1930_43	Anton van Duinkerken
GEM_1930_46	Henri Bruning
GEM_1930_46	Anton van Duinkerken
GEM_1930_51	Leopold
GEM_1930_51	Halbo C. Kool
GEM_1930_51	D.A.M. Binnendijk
GEM_1930_53	Gerard Wijdeveld
GEM_1930_54	Anton van Duinkerken
GEM_1930_55	Anton van Duinkerken
GEM_1930_57	Anton van Duinkerken
GEM_1930_58	Dirk Coster
GEM_1930_58	Anton van Duinkerken
GEM_1930_59	Hendrik Andriessen
GEM_1930_60	To Hölscher
GEM_1930_62	Constantijn
GEM_1930_62	Albe
GEM_1930_62	Albert Helman
GEM_1930_63	Gerard Wijdeveld
GEM_1930_64	Theun de Vries
GEM_1930_68	Bernard Verhoeven
GEM_1930_70	N.G.H. Deen
GEM_1930_71	Menno ter Braak
GEM_1930_72	Jan H. Eekhout
GEM_1930_72	Willem Brandt
GEM_1930_72	A.J.D. van Oosten
GEM_1930_72	Jan H. de Groot
GEM_1930_73	Henri Bruning
GEM_1930_73	Wouter Lutkie
GEM_1930_73	Guido Gezelle
GEM_1930_73	Herman de Man
GEM_1930_73	Albert Kuyle
GEM_1930_73	Albe
GEM_1930_73	Frederik van Eeden
GEM_1930_75	W.P.J. Pompe
GEM_1930_76	Albert Kuyle
GEM_1930_76	Albe
GEM_1930_77	Anton van Duinkerken
GEM_1930_78	Léon
GEM_1930_81	Rie Cramer
GEM_1930_81	Gerard Wijdeveld
GEM_1930_81	Gerard Bruning
GEM_1930_81	Johan de Meester
GEM_1930_81	Karel van den Oever
GEM_1930_81	P.N. van Eyck
GEM_1930_82	Dirk Coster
GEM_1930_82	Wouter Lutkie
GEM_1930_82	Insider
GEM_1930_82	B.H. Molkenboer
GEM_1930_82	Léon
GEM_1930_82	H. Mol
GEM_1930_82	Jan Engelman
GEM_1930_84	Frans Erens
GEM_1930_84	Multatuli
GEM_1930_84	Joep Nicolas
GEM_1930_85	Gabriël Smit
GEM_1930_86	Jan Engelman
GEM_1930_88	Pierre Kemp
GEM_1930_90	Pierre Kemp
GEM_1930_90	Joep Nicolas
GEM_1930_92	Frans Erens
GEM_1930_92	Willem Kloos
GEM_1930_92	Léon
