Author	POD
Hilarion Thans	Smeermaas-Laken
Reinier Ysabie	Gent
Odilo Jacobs	Aalst
J.P. Colsen	
Vincent Cleerdin	Vucht
C.H. de Ronde	
Joris Baers	Sleidinge
Th. De Ronde	Leuven
E.H.J. Bernaerts	
Lydia van Kerckhoven	
Juliaan De Vriendt	
Alice Nahon	Antwerpen
D.F.F.J. Mercier	
K.L.M. Schoeters	
Clemens Daenen	Heverlee
E. Jaulusz.	
Stan Dietvors	
Arnold van Praag	
Huib Hoste	Hove
Oskar Katann	
Eugeen van Oye	Gistel
Herman Deckers	
Mécs Laszló	Pannonhalma
A. Cardyn	
Richard Dewachter	Duffel
André van Praag	
Ernest Closson	
Jan Chiapusso	Lawrence
A.M. Pols	Kalmthout
L. van den Eynde	
Pierre De Clercq	
L. de Smet	
Jozef Uytterhoeven	Mortsel
Jos. de Brandt	
Robert Grosche	Keulen
E.H.J. Hallez	
Huib Luns	
Constant Godelaine	Luik
August van Boeckxsel	
J. Groot	
A.J. Hallez	
Edgar Lee Masters	
Francisque Darcieux	Clermont-Ferrand
Victorinus Groot	
Adolf ter Haghe	
Jef Notermans	Maastricht
Alfons Ariëns	Amersfoort
Albertine Steenhoff-Smulders	Baarn
Rita Hostie	
F.S. van Bouwdijk Bastiaanse	Den Haag
Rob. Roemans	Vorst
Theo Cruysse	
H.J. de Vleeschouwer	Pretoria
Marc de Munnynck	Freiburg
Arnold Sauwen	Brasschaat (Vriesdonk)
Sigrid Undset	Lillehammer
O. Praem	
C. Ldov	
Maurits S.C.M. Molenaar	Sittard
Robert van Passen	
Jeanne de Bruyn	La Plata
Frans de Wilde	Antwerpen
Theodoor Belpaire	
Gottfried Hasenkamp	Münster
Gabriël Merlier	
Paul Van de Woestijne	
Pol Douliez	
Hildegard van Bingen	Rupertsberg
Aimé de Marest	Sint-Agatha-Bergem
C. Vervaever	
J.F.J. van Tol	Colmar
Pol Heyns	Bonheiden
G. van Mulders	
Christian Rimestad	
Johan Oskar Larsen	
Valfrid Palmgren	
Erik Jespersen	
Jörgen Bukdahl	Askov
Joh. Nordahl-Olsen	
Karl Madson	
Erling Lauhn	Bergen
Peder Gram	Kopenhagen
Selma Lagerlöf	Sunne
Karl Gustav Ossianilsson	Rystad
Edvard Welle-Strand	
Theo Findahl	Rome
Pertinax	Brive-la-Gaillarde
R. van Pottelbergh	
F.A. Vercammen	Tilburg
Jan Bloem	
A. Mansion	
G. van Overbeke	
Ruth Schaumann	
Giovanni Vittorio Amoretti	Turijn
A. Della Corte	Turijn
Arrigo Levasti	Firenze
Guido Piovene	Londen
Cipriano Efisio Oppo	Rome
G.A. Borgese	Fiesole
Ada Negri	Milaan
Domenico Giuliotti	Chianti
Michelangelo Zimolo	
Edgard de Bruyne	Schaarbeek
Vincenzo Cardarelli	Rome
Antonio Fogazzaro	Vicenza
Sergio Corazzini	Rome
Nicola Moscardelli	Rome
Franco de Wyels	
Louis Knuvelder	
A. Stracke	
Eugène de Hovre	Gent
J. Rodolfo Lozada	
Amado Nervo	Montevideo
Rob van Roosbroeck	Oosterhout
Karel Verbeke	
Paolo Arcari	Rome
H.J. Elias	Ukkel
Theo Bogaerts	Brussel
Frank van den Wijngaert	
Paul Verbruggen	Deurne (Antwerpen?)
Ellen Russe	
Cornelis Backer	Zwolle
Georg Moenius	München
Günther Müller	Bonn
Friedrich Muckermann, S.J.	
Willem Gijssels	Antwerpen
Marcel Lobet	Rixensart
R.B. Lenaerts	
F. Collin	Antwerpen
Jozef de Wilde	
Andries Morlion	New York
Rudolf Arnheim	Ann Arbor, Michigan
Karel Dekeukeleire	Werchter
P. Seligmann	
Lode Geysen	
L. Patris	
René Devos	
D. Lunders	
J.G.R. van Dyck	
Theodor Absil	
Staf Weyts	Brugge
Lanceloot	
William van den Aker	
Stephanus G. Axters	Lubbeek
Thierry de Wael	
A.G. Christiaens	Sint-Pieters Leeuw
Em. de Deyne	
Paul Sobry	Leuven
Albert Westerlinck	
P. Vermeiren	
Paul Lebeau	Borgerhout
Alfons Walschap	
Fernand Bekaert	
Pomp de Basschaerde	
P. Morlion	
Han. Jonkers	
Oskar van der Hallen	Tenerife
Jef de Pillecijn	
Maurits Peeters	
P.J. Weckx	
Fernand Deschamps	Brussel
Peter Benoit	Antwerpen
J.F. Vanderheyden	
Hugo Anns	
F. Philips	
René Goris	
Paul Franck	
Walther von der Vogelweide	
Frans Verachtert	
L. Delwaide	
Jos. Wils	
Bert Ranke	
O. Westerlinck	
Joh. Boe	
Taeke de Groot	
H.H.J. Maas	Eindhoven
D. Zijlstra	Rotterdam
R. van Cauwelaert	
Frans Tobback	
V.E. van Uytvanck	Cochem
Jef Contryn	
Leo Galle	
Jan Bertels	
Maurits de Doncker	Gent
Desiderius Erasmus	Bazel
Rainer Maria Rilke	Montreux
J.L. de Belder	Deurle
Thilda Deckers	
Korneel Goossens	
Jan Kestens	
Robert Maistriaux	
W.A. de Witte	
Frans Broekaert	
A.L Bem	
Irma van de Port	
Gilbert Degroote	Leuven
Marc Staels	
Willy Vaerewijck	Deurne
Aloïs Janssens	
Fred. Walecijn	
Paul de Ryck	Sint-Amandsberg
Marcel Grypdonck	
Novalis	Weissenfels
Ludo Poplemont	
Luc Indestege	Brussel
Luc van Brabant	Veurne
Liesbeth van Thillo	
Leys Achiel	
Karel Capek	
Max Kijzer	Midden-Europa
Jean-Charles Snoy et d'Oppuers	Eigenbrakel
J. Keunen	Hamont
P. Verberne	
Vital Celen	Antwerpen
Leo Landsman	
A. Plas	
Robert Storm Petersen	Frederiksberg
Alfons van Beylen	
Stefaan Leonard	
Marie Schous	
H. van Lennep	
Marcel Tobie	
Luc van Hoeck	
Basiel de Craene	Merendree
Jan Melis	Borgerhout
P.Em. Valvekens	Ukkel
Camiel van Deyck	
Hendrik Prijs	Alken
Gerard Michiels	
Elmar Borg	
Jan D'Haese	
H. Brugge	
Robert Guiette	Antwerpen
Jo de Meester	
Xavier Pruszynski	
Waclaw Husarski	
Tadeusz Breza	
Waclaw Sieroszewski	
Kazimierz Tetmajer-Przerwa	
Venceslas Berent	
Emil Zegadlowicz	
Tadeusz Boy-Zelenski	
Leopold Staff	
Juljusz Kaden-Bandrowski	
Zofja Nalkowska	
I.K. Illakowicz	Poznan
Ferdynand Goetel	
Zofja Kossak-Szczucka	
Julian Tuwim	
Jan Parandowski	
Jaroslaw Iwaszkiewicz	
Maria Jasnorzewska	Manchester
Herminia Naglerowa	
Maria Dabrowska	Warschau
Jozef Wittlin	
Jan Lechon	
Marja Kuncewiczowna	
Eva Szelburg Zarembina	
Michal Choromanski	
Kazimierz Wierzynski	Londen
Jozef Czechowicz	
Swiatopelk Karpinski	
Jozef Lobodowski	
St. Pietak	
Amedée Arents	
P. Keymeulen	
Era Lobet	
Lode Quasters	Sint-Niklaas
Jos de Haes	Brussel (Jette)
Elisabeth Dhanens	
George Meir	
August Corbet	
E. van Uytbergen	
P. van Keymolen	
Ventura García Caldéron	
Michel Demedts	
Filippo Donini	
Paul Walkiers	
Piet Zonderzorg	
Maria Huybrechts	
José de Ceulaer	
Aster Berkhof	
A. Kriekemans	
August Vanistendael	Leuven
Louise Labé	Parcieux
Lode Cantens	
Nic van Beeck	
J.L. Pauwels	
Honoré van Waeyenbergh	Korbeek-Lo
Jan Valvekens	Antwerpen
Frank Meyland	Gent
Abel J. Coetzee	
Gabriela Mistral	
René J. Seghers	Brussel
August Vercauteren	
Joris Dedier	
Firmin van Hecke	Gent
Albert de Longie	Ooike
Adriaan Magerman	Deinze
John L. Brown	
B. Boeyckens	
R.F. Lissens	
Emiel van Hemeldonck	Arendonk
Ant. Gobert	
Marcel Brauns	Gent
Gerard Verbeke	Leuven
W.J. Elsman	
Reninca	
Marius F. Valkhoff	
C.M. van den Heever	Johannesburg
Paul Van Keymeulen	
Lode Campforts	
N. Wildiers	
Pierre Berteloot	
Willem van den Broeck	
Jan van den Broeck	
Maurice Schuyten	
Émile O.J.J.G. Lousse	
R.K.J.E. Antonissen	
Karel Vertommen	Antwerpen
Fr. Nooyens	
Julia Tulkens	
Betsie Hollants	
Frans van Boogaerdt	
Rosa Temmerman	
Mona van Garsse	
Pieter-Emmanuel Oyen	
Maxime Deswarte	
Frans Verstreken	
Roover de Rik	
Yrjö Kaijärvi	Rautalampi
Hans Reykers	
W. Everaet	
Joos Florquin	
Jos van der Steen	
Henri Schoofs	
Gaston Duribreux	Oostende
Johan van Mechelen	Gent
Fr. Claessens	
Margriet Baers	
Hubert Verwilghen	
Raymond Pouilliart	
Adolf Herckenrath	Gent
C.J. Lannoy	
Daan Boens	Gent
Rik Zienstra	
Jan Leyten	
Joris Taels	Edegem
Albert Speekaert	
Roger Ghesquiere	
Andries Poppe	
Erik van Ruysbeek	Etterbeek
Herman van Snick	Koksijde
August Govaers	
Jules Van Ackere	Ukkel
Willem Doevenspeck	Deurne
Leo Simoens	
Ernst Wiechert	
Charles van Lerberghe	
Maurits Bilcke	
Friedrich Rückert	
S.J. de Hoest	Nijkerk
Frank Baur	Waasmunster
Jan Elemans	
Luc Debaene	Berchem
N. Machiavelli	
S.A. Vosters	Etten-Leur
Paul Possemiers	Antwerpen
Karel de Busschere	Ieper
Jos Smeyers	
Lode Wils	
M. Hanot	
Tirso de Molina	
Eugène van Itterbeek	Sibiu
Pierre Lambrechts	Brussel
Fa Claes	
Roland Jooris	
Hedwig Speliers	
Luc Verbeke	Waregem
Joris Delameillieure	
Miguel de Unamuno	
Willy Spillebeen	
Robin Hannelore	
Anthony Jansen	Bloemendaal
Fernand Auwera	
Luc Clerinx	
J. Brants	
Reginald De Schryver	
Frans Kuipers	
Luk Adriaens	
Ludo Simons	
Julien Vangansbeke	
Frans de Haes	
H. van Gorp	
Paul Vanderschaeghe	
Leo Pleysier	
Jef van Gool	
J. Goossens	
Jozef Boets	Antwerpen
Luuk Gruwez	
Alstein	
Frans Deschoemaeker	
Lucienne Stassaert	
Aleidis Dierick	
Rita Ghesquiere	Leuven
José Lambert	
Wilfried Adams	Antwerpen
Frans Depeuter	
Chris Coppens	
Johanna Kruit	
Lisette Keustermans	
Willy Balyon	Heerlen
W.F. Jonckheere	
Patricia Lasoen	
Piet van Aken	Antwerpen
J.P. Heyen	
Hervé J. Casier	
Hanna Kirsten	Brugge
Dirk Verbruggen	Mechelen
Jozef de Vos	
Hendrik Carette	
Jaak De Maere	
Philip Vermoortel	
Elke Brems	
Bernard Verstraete	
Jo Gisekin	
Robert Lagrain	Brugge
Koen Vermeiren	
Mark Kinet	
Katrien Desiere	
Willem de Groot	Delft
Chris de Stoop	
G. Geerts	
Johan Corveleijn	
A.B. de Cooman	
Stefaan Evenepoel	
Charles Ducal	
Vic Nachtergaele	
Willy Vanhaelewijn	
Jan van Coillie	
Hans de Greve	
Michelangelo	
Lieven de Cauter	
Lenze L. Bouwers	
Lionel Deflo	
Bernard Dewulf	
Erik Spinoy	
E. Dekker	
Toine Hovens	
Ernst van Altena	Landsmeer
Paul Koeck	
Eric Derluyn	
Marleen de Crée-Roex	
Julien Vermeulen	
Annie Verhaeghe	
Bies van Ede	
Karel Porteman	
Frank Pollet	
Dirk de Geest	
Jan Flamend	
Kees Vellekoop	
Martine de Clercq	
Mark Van Tongele	
Elisabeth Marain	
Elisabeth Leijnse	
J.L. Weverbergh	
Marc Reynebeau	
Frans Berkelmans	
Karel Roelants	
Anne van Herreweghen	
Luc Renders	
Koenraad Goudeseune	
Dante Alighieri	Ravenna
Luk Lambrechts	
Marcel de Smedt	
Guido De Bruyn	
Philips Koninck	Amsterdam
D. Delabastita	
Jef Snauwaert	
J.J. Roest van Alkemade	Modena
Piet Couttenier	
J. van Iseghem	
Ivo Michiels	Le Barroux
Jo Tollebeek	
Maurits van Saene	Aalst
Bert Govaerts	
Joris Gerits	Bonheiden
Jean-Luc Lambreghts	
Toon Saelens	
Bart Vonck	
Jean-Paul den Haerynck	
J. Hoogteijling	
Bert Bevers	
Rino Feys	
Emile Clemens	
Patrick Cornillie	
Mark Eyskens	
Peter Ghyssaert	
Jo Govaerts	
Publius Ovidius Naso	Tomis
Rik Deweerdt	
Gilbert van Hool	
Bruneau	
Leen Huet	
Steven Wilsens	
Francis Bacon	Madrid
A.F.Th. van der Heijden	
Johan Reijmerink	
Herbert van Uffelen	
J.C. Kannemeyer	Stellenbosch
Tom Pijnenborg	
Els Vos	
Bart Janssen	
Dirk Geeraerts	
Cees Verraak	
Menko ten Cate	
August Thiry	
Hubert de Vogelaere	
L. Beheydt	
Hartmann von Aue	
Jo Boon	
Lieve Blancquaert	
M. Februari	
Connie Palmen	
Jacques De Visscher	
Maryse Vincken	
J. Van Acker	
Matteo Maria Boiardo	Reggio nell'Emilia
Hendrik Schreuder van Draag	
Robert Lema	
Eddy Walrave	
J.J. Goossens	
Luc Devoldere	
Judit Gera	
Geert van Istendael	
Serge van Duijnhoven	
Paul Verhuyck	Graauw
Gaston de Mey	
Annemiek Neefjes	
Tony Le Duc	
Johan Daenen	
Yves T'Sjoen	
Victor Burgin	
Kasimierz Bendkowski	
Elma van Haren	
Kaat Tilley	Asbeek
Ad Zuiderent	
Carl de Keyzer	
K. van der Stighelen	
Anna Maria van Schurman	Wieuwerd
Thérèse Schwartze	Amsterdam
M.A. Schenkeveld-van der Dussen	
Anna Enquist	
Luk van den Dries	
Eric de Volder	Gent
Eva Gerlach	
Ludo Bekkers	
François Haverschmidt	Schiedam
Jan Baetens	
Guido van Genechten	
Lieven Baeyens	
Kristiaan Borret	
Guido Vrolix	
Pascal Cornet	
Rudyard Kipling	
Edgar Rice Burroughs	
Dominique Goblet	
Jan van Loy	
Galileo Galilei	Arcetri
James Joyce	
Joh. de Graaff	
Ultra Violet	New York City
Johnny Maeschalck	
Mustafa Stitou	
Walter Verdin	
Jan Lauwereyns	
Saskia de Coster	
Geertrui Daem	
Monica Droste	Antwerpen
Guy Rombouts	
Didi de Paris	
Pjeroo Roobjee	
Arthur Rimbaud	
Pieter Boskma	
Dianne Hagen	
Marlene Dumas	
Gert-Jan van Rooij	
Felx Tirry	
Peter Cox	
Peter Sander	
Wouter Verbeylen	
Eric Vos	
Hans Groenewegen	Rijswijk
Idel Ianchelevici	Maisons-Laffitte
Georges Wildemeersch	
Geert Buelens	
Pierre Alechinsky	
Stefan Brijs	
Ray Gilles	
Jan Vaerten	Beerse
Florent Wellens	
Maurice D'Haese	Aalst
Frans Denissen	
Bob van Laerhoven	
Johan Vandenbroucke	
Karl Vissers	
Erik Vlaminck	
F.C. Terborgh	Linho Sintra
Ernest Michel	Nijmegen
Louis van Loo	
Jacob Bendien	Amsterdam
J.A. Dèr Mouw	Den Haag
M.B. Frenkel	
Paul Rogghé	Gent
Stefan George	
Giacomo Antonini	Froxfield, Petersfield
C.L. Sciarone	
B. Roest Crollius	
Aulus Persius Flaccus	
J.C. Noordstar	
Plato	Athene
Fred Batten	
Amaat Honoraat Joos	Gent
Rudolf Escher	De Koog
Piet Verhoog	
Gerard van Gelder	
E.M. Uhlenbeck	Voorhout
A. de Buck	Leiden
Grietje Drewes	
A. Teeuw	
J.G. Bomhoff	
A.E. Cohen	Oegstgeest
H.J. Drossaart Lulofs	
C. de Deugd	Spaubeek
Karel van het Reve	Amsterdam
C.J. Ruijgh	
Z.R. Dittrich	
G.W. Locher	
Frederik Willem Nicolaas Hugenholtz	Grand Rapids
C. Soeteman	Oegstgeest
P.E. Josselin de Jong	
J.C. Opstelten	
T.A. Birrell	
Simon Kooyman	
F.R. Kraus	
Christiaan Hooykaas	Den Haag
D.J. Kohlbrugge	
A.B. Breebaart	
J.C. Anceaux	
A. Chorus	
J.H. Waszink	
A. Mooij	
F. Drijkoningen	
P.H. Pott	
J. M. Welcker	
B. Siertsema	Haarlem
B.H. Wind	
J. van der Eng	
W. van Ravesteyn	Rotterdam
J.W. de Jong	
Frank C. Maatje	
J.H. Croon	
W.J. Verdenius	Zeist
Wiecher Zwanenburg	
Antonie Cohen	
Marcel Janssens	
Jan van der Veen	
P.J.H. Pijls	
A. Kibédi Varga	
F. de Tollenaere	Warmond
F.R. Noske	
P.A.M. Geurts	Venray
I.N. Bulhof-Rutgers	
H. Mol	
W.J.H. Caron	Driebergen
Jacob Smit	
H.P.H. Teesing	Utrecht
P.C. Paardekooper	
G. Nuchelmans	
F. Bulhof	
W. Drop	Amersfoort
J.A. van Dorsten	
G.F. Bos	
A.Z. van 't Hoff Stolk-Huisman	
J.J. Wesselo	
S.G. Nooteboom	
B.N. Teensma	
Louise Statenus	
A.A. Prins	
P.H. van Laer	
W.A.M. de Vroomen	
J.M. Bremer	
Steven ten Brinke	Utrecht
D.R. Jonker	
T.A. van Dijk	
Cor van Bree	
Raoul Van Caenegem	Gent
R.S. Prins	
E. Wagenaar-Cornelissen	
P. Gaeffke	Philadelphia
J.G. Schippers	
A.L. des Tombe	
Ronald Landheer	
W. Hogendoorn	
A. Kraak	Monnickendam
Co Vet	
W.J.M. Levelt	
L. Pepplinkhuizen	
A.W.G. Eijgendaal	
Sjaak de Mey	
A. M. de Wachter-Schaerlaekens	
H.J. Brinkman	
B.P.F. Al	
Guus Extra	
J. F. P. de Smit	
W. Kaper	
G.F.H. Raat	
M. van de Ven	
Horst A. Steinmetz	
Gerard Kempen	
P.F. Schmitz	
D.J.M. ten Berge	
W.C. van Unnik	Utrecht
H.A.J.F. Misset	
C. Reedijk	Zeist
E.K. Grootes	
J.G.P. Best	
Jeanette van der Valk	
A.A. Verrijn Stuart	Haarlem
Ger Schmook	Antwerpen
P.G.J. van Sterkenburg	
Paul van Hauwermeiren	
Alfred G.H. Kerckhoffs	
A. Ollongren	
Alain Bossuyt	
Geert Evert Booij	
Harry van der Hulst	
A. Dees	Badhoevedorp
A. Meintema	
Paul Pelckmans	
Frank Jansen	
Th. van den Hoek	
Flor Aarts	
Ariane van Santen	
Harry Bekkering	
J. van Marle	
W. Pijnenburg	
Quirinus Ignatius Maria Mok	Leiden
Erik Maten	
D. Otten	
G.J. de Haan	
Arthur Eijffinger	
P. Th. van Reenen	
Marie-Louise Montulet	
Louk Wijsen	
A. Feitsma	
Geert Koefoed	
Jos Hoogeveen	
Charles Grivel	
A.G.H. Bachrach	
Françoise van Rossum-Guyon	
A.J.A. Fehr	Amsterdam
L.D. Couprie	
Willem Adelaar	
J.A. de Vries	
J.A. Dautzenberg	Nijmegen
Jan van Bakel	
J.P. Fokkelman	
Peter Verstegen	
Marijke Loots	
P.J. Peverelli	
Julia van Gunsteren-Viersen	
Frank Berndsen	
M. Uhlenbeck-Winkel	
B.J. Hoff	
V.J.J.P. van Heuven	
J. Hoftijzer	
Hannes Meinkema	
B.P. Visser	
Geert Adriaens	
Chantal Keijsper	
Will Derks	
Ton van Haaften	
Maarten Klein	
Wim Zonneveld	
Hans Heestermans	
Ria Lemaire-Mertens	
Norval S.H. Smith	
Bert Schouten	
Erica C. García	
J. Knol	
Mineke Schipper	
Arie Verhagen	
H.F.A. van der Lubbe	Rotterdam
H. Hulshof	
Erica Huls	
Sophie Levie	
Bob Rigter	
N. van der Laan	Heelsum
Arie Schippers	
Ina Schermer-Vermeer	
Arthur Kooyman	
Annechien Vink	
H. Proeme	
Lo van Driel	
Dick Schram	
Johan Kerstens	
K. de Bot	
Kees-Jan Backhuys	
Rob Wolfs	
Ben van der Have	
Antoine Braet	
Päivi Schot-Saikku	
Sandro Briosi	
R.M. van Zonneveld	Groningen
Jef Bogman	
Kees Meerhoff	
M.K. van Dort-Slijper	
Harry Verschuren	
Jacqueline Bel	
Peter van Bart	
Jeannette M. Hollaar	
Aaldrik Koops	
Will van Peer	
Johan van Benthem	
Martin Schouten	
Peter V. Zima	
M.P.R. van den Broecke	
P. Schellens	
René Marres	
Theo A.J.M. Janssen	
Marijke J. van der Wal	
Mieke Trommelen	
Gert de Jager	
A. Moerdijk	
Els Elffers	
Walter Haeseryn	
Reinier Salverda	
Maartje Süter	
A.M. Duinhoven	
W.G. Klooster	
W.H.M. Mattens	
Margreet Onrust	
U. Schuurs	
Pierre Swiggers	
Karel van den Eynde	
Willy Vandeweghe	
S. De Vriendt	
J.J. Kloek	
Els Jongeneel	
Jacomine Nortier	
H.F. Schatz	
Essa Reijmers	
Lucia Nankoe	
Rolf Zwaan	
Ralf Grüttemeier	
Hub Zwart	
Ruurd R. Nauta	
Alida Toussaint-Dekker	Zeist
Robert S. Kirsner	
Sies de Haan	
J.V. Schmöler	
B. van Heusden	
Marinel Gerritsen	
J. Lachlan Mackenzie	
Matthijs Engelberts	
Hanneke Mulder	
Alied Blom	
Alette van Doggenaar	
René Appel	
Wardy Poelstra	
Hans van Stralen	
Pamela Pattynama	
R.H. Baayen	
Hans Anten	
Anneke van Luxemburg-Albers	
A. Sturm	
Justine Pardoen	
G.J. Vis	Schoorl
Klaus Beekman	
Saskia van As	
Guy Janssens	
Els Weijers	
Fritz A. Ponelis	Kaapstad
Sytze Wiersma	
Frank van den Bogaard	
Thijs Jansen	
Matthias Prangel	
Ger Groot	
Jan Noordegraaf	
Isabel Hoving	
A. Lubotsky	
Linda Verstraten	
Henk de Berg	
J.B. Berns	
Saskia Daalder	
L.H. Hoek	
Saskia Tellegen-van Delft	
Anneke Nunn	
Ann Rigney	
Frans Ruiter	
W.W. Mijnhardt	
José Sanders	
Gisela Redeker	
Ton Nijhuis	
Peter Bakema	
J.A.M. Komen	
Matthias Hüning	
Wim Honselaar	
Wilma Siccama	
Tieme van Dijk	
F.W. Korsten	
Dirk Boutkan	Leeuwarden
Arnoud Wils	
Kees van der Waerden	
Els Andringa	
Walter Schönau	
Sjef Barbiers	
Leonie Cornips	
Margreet den Buurman	
Casper de Groot	
J.G. Kruyt	
Ido Weijers	
Annelies Schulte Nordholt	
Jos van Winkel	
Marjolijn Verspoor	
Louise Cornelis	
Ute Langner	
Paul Hadermann	
Kees Snoek	
Fred Weerman	
Matthijs Bakker	
Ad Foolen	
J.D.F. van Halsema	
Henk Haverkate	
Edmond van Offel	Gravenwezel
Jeannette Nijhuis	Perugia
A.M. Nachenius-Roegholt	Utrecht
Frans Hulleman	
Marie Heijermans-Peers	
H.A. van Daalhoff	
J.B. Schepers	Haarlem
Bé Stolk	
Frits Leonhard	Wolfheze
R.A. Hugenholtz	
René de Clercq	Sint-Maartensdijk
Alfred Boysen	
Henri Dekking	Rotterdam
David Moolenaar	
Leo Meert	Antwerpen
Daan van der Zee	
Suze la Chapelle-Roobol	Den Haag
Trabadoeli	
Willem Graadt van Roggen	
Carry van Bruggen	Laren
E. Bergsma	
J.F. van Hees	
M. Dz. van Dordrecht	Leuven
J. van der Burg-Hora Adema	
L.S. Hijlsma	
Fokko Bos	
J. van der Pant jr.	
Suze La Chapelle-Roobol	
J.N. Pattist	
Jan F.E. Celliers	
Émile Verhaeren	Rouen
Leonce du Catillon	
Jan Fabricius	Wimborne
Johannes Couperus	
Willem Frederik Schürmann	Rotterdam
Pauline le Roux	
Theocritus	
Albertine de Haas	
Robert de Hooghe	
Jules Bernard Schürmann	
Franz Michael Krings	Chicago
Hendrik van der Wal	
Pieter van der Meer	
Piet van Assche	
Dora Janssen	
Josef Cohen	Groningen
Jelte Nicolaas van der Ley	Laren
H.F. Wirth	
Willem Caland	Utrecht
Else Osten	
Albertine Draaijer-de Haas	
Anna Elisabeth Buma	Leeuwarden
R.L. Stevenson	Vailima
Henri H. van Calker	Hilversum
Lita de Ranitz	Amsterdam
Heinrich Petermeyer	
Balthazar Verhagen	
Henricus	
Omar Khayyam	
Adriaan van Slooten	
Karel Antoon Casteels	
Janito Benavente y Martinez	Madrid
Herman van Puymbrouck	
Johan van Wageningen	
Remko ter Laan	
H. van Raalte-Simons	
Maryot	
Gabriële Violanti	
Anne Hallema	Breda
Jos Janssen	Antwerpen
J. de Jong	
J.W. van Cittert	
Prosper Mérimée	Cannes
Bernard Canter	Scheveningen
Carlo Goldini	Parijs
Mary Robbers	
M.H. Werkman	
F.H. Fischer	
Johann Wolfgang von Goethe	Weimar
D.A. Zoethout	
Hendrik C. Diferee	Amsterdam
Joseph O. Kronig	
Mies Kievits	
A.E. van den Tol	
Amélie de Man	
Marie de Rovanno	
P. Bierens de Haan	
Johan Gustaaf Danser	Rotterdam
Herman Wolf	
H.J. de Marez Oyens	Amsterdam
A.G. van Kranendonk	Leiden
Jeanne van Son-Willing	
Rhoda	
Jet Luber	Bergen
Ernst Groenevelt	Den Haag
Charles van Iersel	
E.H. Teissen	
C.P. van der Weide	
J.L.M. Lauweriks	
Nella Moltzer	
Nelly M. Burgers	
C. Krak	
Fritz Smit Kleine	Doorn
F.J. de Holl	
A. Moresco	
W.M. Ebbink	
Valborg Isaachsen-Dudok van Heel	
C. de Leeuw-Schönberg	
Rinke Tolman	Amersfoort
Jan Strobbe	
J. Saks	Amsterdam
Henriette Barbe	
W. Boschman	
A.A. Bosschart	Laren
M.E. Klinkhamer-van Hoytema	
W. de Rijke	
H.S. Keuls jr.	
Heinrich von Kleist	
M.L.A. Barnardiston-Van Riemsdijk	
M.H.J. Schoenmaekers	Laren
W. Reich	
Jos Jansen	
Carla van Lidth de Jeude	
David de Jong	Amsterdam
Eduard van Collem	Gmina Oswiecim
Nanny Speyer	
Laura Olivier	
Georges Eekhoud	Schaarbeek
M.D. Henkel	
Willem Johannes Steenhoff	Amsterdam
W. Haanstra	
Alfred de Vigny	
J.C. Bruijn	
Alie Smeding	Utrecht
Alb. Kolkman	
C. de Dood	
Agnes François	
Maxim Gorki	Moskou
E. de Haas	
L. de Haas	
J.N. Jacobsen Jensen	
Herman Menagé Challa	
Ludvig Holberg	Kopenhagen
B.A. Meuleman	
H. Lievegoed	
Juul Roggeveen	
Henriette Geerling	
Jan Grégoire	Amsterdam
D.H. Lawrence	Vence
H. Korteling	Deventer
Thomas Raucat	Parijs
Johan Schmidt	
G. de Bruijn	
Wouter Hutschenruyter	
H.W. van Loon	
J. Nienhuis	De Bilt
J.P. Zoomers-Vermeer	Apeldoorn
Sidonie Gabrielle Colette	
Eva Raedt-de Canter	Edam
Taï Aagen-Moro	
Hermance Farensbach	
Annelies van Cauwelaert	
Juul Horn	
Ernst S. Willartz	
Marja Stevens	
Albert van Waasdijk	
Con Schröders	Hilversum
N. de Praetere	
Willem Enzinck	Oostburg
Frans Harmen Kiveron	Borneo
A.H. Unger	
Friedrich Hölderlin	
J.A. van der Made	
Nico de Haas	
Frans Hannema	
Ferdinand Vercnocke	Duffel
Sjoerd de Vries	
Jan Redam	
Steven Barends	
Hendrik Lindt	
George Kettmann jr.	Roosendaal
Ben Moritz	
Henri Bruning	Nijmegen
Sybren Modderman	
Karin Moen	
Rudolf Steinmetz	
S.G. de Vries	Leiden
Louis D. Petit	
G.J.W. Koolemans Beijnen	
J. Verdam	
Gerardus Johannes van der Hoeve	
T. Zaaijer	Leiden
J.M. Nuyts	
J.E. Banck	Wiesbaden
Jan Frederik Willem Conrad	Den Haag
T.C. van der Kulk	
W.R. Veder	
J. Herderscheê	Amsterdam
W.H. Stenfert Kroese	
H.J. de Dompierre de Chaufepié	
François van Veerdeghem	
B. van Meer	
Johan Adriaan Feith	Groningen
J.W.M. Schorer	
Corneille L. Landré	Amsterdam
Carel Eduard Daniëls	
J. Jelgerhuis Swildens	Amsterdam
J.G. Nijk	
Thomas Nolen	Rotterdam
P.J. Muller	
E.N. Rahusen	
Godschalk Horatius van Borssum Waalkes	Utrecht
Wilco Julius van Welderen Baron Rengers	
O.J.H. van Limburg Stirum	Godesberg
Jacob Cornelis van Slee	Diepenveen
M.A. Gooszen	Lochem
P. Feenstra jr.	
J.G.C. Joosting	Velp
J.T. Cremer	Amsterdam
J.J. Tavenraat	Den Haag
Willem Polman Kruseman	
Jan te Winkel	Amsterdam
G.H. Leignes Bakhoven	Goes
F.B. Löhnis	Baden-Baden
