Author	POD
Margaretha Wijnanda Maclaine Pont	Den Haag?
C.M. Vos	Amsterdam
Johan Drabbe	Domburg
W.B.G. Molkenboer	
F.J. Haver Droeze	Dordrecht
Adrianus Dirk de Vries	
Adrianus Daniel de Vries	
Henricus Anastasius Viotta	
L.A.J.W. baron Sloet van de Beele	Arnhem
Th.W. Engelmann	Berlijn
A.H.G.P. van den Es	Baarn
I.D. Franssen van de Putte	Den Haag
Petrus Conradi	
J. van Loenen Martinet	
Jacob Léon Wertheim	Amsterdam
J. Winkler Prins	op de Keltische Zee
Samuel Muller Fzn.	
R.M. van Goens	Werningerode
Jacob Hendrik Hora Siccama	
D.C. Meijer	
A.C. Vreede	Leiden
V.A. Julius	Utrecht
J. Aleida Nijland	
Jacob Adolf Bruno Wiselius	
E.O. Houtsma	
C. Terburch	
Jean Charles Naber	Utrecht
J.C. Costerus	Hilversum
G. Kalff	Sassnitz
G. de Bosch Kemper	Brussel
Emile Habets	
Maurits Smit	
T.H.F. van Riemsdijk	
Nicolaas de Roever	Amsterdam
F.P. ter Meulen	
A.L. de Rop	Amsterdam
C. Honigh	Zwollerkarspel
A.C. Waller	
[tijdschrift] Vaderlandsche Letteroefeningen	
H.E. Beunke	Amersfoort
Jan de Louter	
H.G. Roodhuyzen	
Melchior Treub	St. Rafael
L.R. Koolemans Beynen	Macassar
Anth. Grolman	Utrecht
G.E. Langemeijer	Bloemendaal
K.W. van Gorkom	
Albert Jan ten Brink	Den Haag
Frederik van Hogendorp	Bendorf
H.L. Berckenhoff	
H.U. Meyboom	Paterswolde
Henri Raloff	
A.L.W. Seyffardt	
J.G. Frederiks	Amsterdam
Anthonie Marius Kollewijn	
M. van Andelst	
J.C.M. van Riemsdijk	
J.J.L. ten Kate	Amsterdam
Anton Gerard van Hamel	Amsterdam
Robert Macalester Loup	
Anne Busken Huet-van der Tholl	Parijs
Johannes Reitsma A.Tzn.	Groningen
Gerrit de Vries	
A.S.C. Wallis	Rotterdam
Jan Philip de Bordes	
Max Rooses	Antwerpen
L.A.J. Burgersdijk	Apeldoorn
Petrus Martinus Bots	Dongen
A.E.J. Holwerda	
David van Hoogstraten	Amsterdam
Carl Ludwig Lütkebühl jr.	
T.M. Tromp	
Virginie Loveling	Gent
J. Röell	Den Haag
J.D. de Jong	Den Haag
R. Feith	Groningen
François de Bas	Den Haag
H. Koekebakker	Zwartsluis
Pol de Mont	Berlijn
A.A.W. Hubrecht	
J.A. Worp	
Gerard Valette	
J.A. Bientjes	Amersfoort
Gerard Heymans	
A.J.W. Farncombe Sanders	Den Haag
Joh. Dyserinck	Baarn
George Eliot	Londen
L. de Vlaming	
H.L.F. Pisuisse	Den Haag
Jan van Beers	Antwerpen
J.H. Hooijer	Arnhem
Anthony Beaujon	Heidelberg
M.A. Perk	Amsterdam
Jac. Moleschott	Rome
Johannes Hermanus Gunning jr.	Arnhem
W.C. Mees	
R.P.J. Tutein Nolthenius	La Tour de Peilz
E.B. Kielstra	Den Haag
B. Sijmons	Groningen
Constantinus Bake	Den Haag
Josephine Giese	Voorburg
Louis Couperus	De Steeg
Willem Pleyte	Leiden
J.W. van der Linden	
Hijman Binger	
Jan Carel Matthes	
Jacob Kuyper Hzn.	Den Haag
Jan Izaak van Doorninck	Zwolle
Martina Geertruida Sara van der Feen	Den Haag
M.E.F. Elout van Soeterwoude	Batjan
W. Gosler	
Hélène Swarth	Velp
A. Bruining	
P.A.M. Boele van Hensbroek	
Fiore della Neve	Florence
J.P. Hasebroek	Amsterdam
J.C. Loman jr.	Den Haag
Pieter Gerard van Schermbeek	Deventer
Abraham Bredius	Monaco
P.W.A. Cort van der Linden	Den Haag
Pierre Daniel Chantepie de la Saussaye	Bilthoven
C.H. den Hertog	Amsterdam
Marie Agathe Boddaert	Den Haag
J.J.P. Valeton	
W.C. van Manen	Leiden
B. Dorhout Mees	Bendorf
Willem van der Vlugt	Tongeren
Theodoor Carel Gobée	Soerabaja
F.S. van Nierop	
A.W. Kroon-Star Numan	
Arnold Werumeus Buning	Den Haag
Frans Netscher	Haarlem
Geertruida Carelsen	Haarlem
Jan Six	
W.G.C. Byvanck	Den Haag
F.J.L. Krämer	
Henri David Levyssohn Norman	
Christiaan Snouck Hurgronje	Leiden
Adriaan Pit	Nijmegen
Elise Knuttel-Fabius	
Albartus Telting	Den Haag
Johannes Mulder	
Joan Bohl	Amsterdam
S.E. Harthoorn	
Willem Pieter Cornelis Knuttel	Den Haag
G.W. Bruinsma	Breda
Albertus Hendrikus Nijland	Indië
Matthias de Vries	Leiden
Johan baron d' Aulnis de Bourouill	Utrecht
Louis Trenard	Belley
Gerard Slothouwer	
Charles François van Duyl	Groningen
Emile Seipgens	Leiden
Th. Swart Abrahamsz	
Willem A. Hecker	Delft
Willem Jacob Manssen	
J.H. Kips	Lochem
George Alexander Wilken	Leiden
N.J. Singels	Zeist
Samuel Muller	Amsterdam
Herman Frederik Carel ten Kate	Carthago
Pieter Nicolaas van Kampen	Amsterdam
A. Kluijver	
Frits Lapidoth	Nauheim
Jan F. Beekman	
J.H. van den Bosch	Wageningen
J. Menno Huizinga	
J.J.A.A. Frantzen	
J.E. Sachse	
H. Was	
H.J. Polak	Groningen
Marcellus Emants	Baden
W. Jaeger	
C.A. Steger	Den Haag
J.A. Tours	
Izaak Jan le Cosquino de Bussy	Hilversum
J.B.C. Adriaensen	Schaarbeek
Jacob Samuel Speyer	Leiden
W.L. Penning	Den Haag
N.P. van den Berg	
Johanna A. Wolters	
C.C. Uhlenbeck	
G.J. Boekenoogen	Leiden
L.W.C. van den Berg	Delft
A.J. Immink	
P.J. Blok	Leiden
Leo Simons	
H. J. Eymael	
G.H. Priem	
S.J. Warren	
K.O. Meinsma	Zutphen
J.H. Groenewegen	
J.F. van Bemmelen	Leiden
Leopold	Haarlem
A.J. Bothenius Brouwer	Rotterdam
J.G. Gleichman	Den Haag
Hendrik Barend Greven	Den Haag
Bernhard van Meurs	Rotterdam
Wolfgang Brandt	
Jan Frederik Niermeyer	Utrecht
J.J. van Toorenenbergen	Amsterdam
R.C. Boer	Amsterdam
Willem Frederik Andriessen	Alkmaar
Herman Heijermans	Zandvoort
L. Knappert	Leiden
Edward B. Koster	Den Haag
Marie Snijder van Wissenkerke	
Arnoldus Nicolaas Jacobus Fabius	Bussum
M. Straub	
Samuel Kalff	
J.P. Moltzer	
H. Logeman	Sleidinge
Willem Bilderdijk	Haarlem
