	0
Jan Jozef van Laer	107.4369047619048
Gottfried Benn	75.35598845598838
G. Geerts	131.615873015873
Karel van de Woestijne	182.48571428571495
Matthias de Vries	96.64761904761932
Jan Fabre	77.84567099567084
Teun Hoekstra	3.0
I.J.M. van den Berg	122.84682539682545
W. Blok	118.85039682539691
J.S. Bartstra	121.6801587301588
R. Vos	0.0
Coenraad van Emde Boas	0.0
E. de Strycker	0.0
Loden Vogel	109.2019841269845
Stefaan van den Bremt	87.95396825396857
Cyriel Verschaeve	149.56190476190469
L. Verelst	0.0
M. Februari	77.84567099567084
Guus Extra	2.0
Lidy van Eijsselsteijn	0.0
Julien Vangansbeke	87.15396825396859
N. de Paepe	94.4253968253971
Louis D. Petit	0.0
Piet Delen	0.0
Jan Hammenecker	138.39523809523794
P. Minderaa	150.50357142857175
Adolf Herckenrath	126.34642857142829
F.B. Löhnis	0.0
Anton van der Boom	121.6801587301588
Jo Daan	153.57738095238116
Louis Sterkens	110.93690476190481
Ron Elshout	85.47384559884587
H. van Cappelle	1.0
W.J. Buma	114.04920634920637
L. Mestdagh	124.89880952380966
G.W. Wolthuis	139.12738095238072
Alb. Raignier	0.0
Joris Eeckhout	156.99285714285713
Theun de Vries	188.24285714285796
Bernhard F. Scholz	0.0
Louis Ferron	82.80717893217923
E.J. Vandenbussche	118.24761904761917
P.W. Korthals	91.55952380952431
Bart van Heerikhuizen	93.14487734487774
H. de Vocht	126.34642857142829
Jacob Geel	126.34642857142829
Maurits Uyldert	159.1523809523813
W.J.A. Jonckbloet	97.4329365079367
Ben van Melick	2.0
Marc Bruynseraede	87.15396825396859
Allard Pierson	141.2940476190475
D.H. Lawrence	88.0960317460322
Wim Vermeer	0.0
M. Rutten	157.2702380952384
C.P. Burger	126.84642857142829
J.C. van der Does	126.34642857142829
Patricia Lasoen	87.15396825396859
Frans Kuipers	87.15396825396859
Aad Nuis	2.0
Fr. de Jong Edz.	94.09087301587351
J.W. de Vries	103.1757936507939
G. Huyghe	123.93214285714282
Hans Andreus	135.87063492063444
Homerus	0.0
Leo Goemans	126.34642857142829
H.J. Polak	0.0
Paul de Vree	129.81309523809492
Jo Gisekin	87.15396825396859
J. Goossens	142.88253968253952
Roel van Duyn	110.25198412698448
Wilbert Smulders	84.14051226551256
Will van Peer	71.40465367965366
V.F. Vanacker	135.88253968253957
Nico Rost	109.25714285714305
K. ter Laan	140.17976190476185
Selma Lagerlöf	110.604761904762
Miguel de Cervantes Saavedra	0.0
Ed Leeflang	88.15396825396859
Arthur J.H. Cornette	156.50952380952367
H.W.J.M. Keuls	126.34642857142829
E. Moll	139.18690476190466
Martien Beversluis	126.34642857142829
Dingeman van der Stoep	74.00241702741714
A.G. van Hamel	130.85357142857112
Alfons Fierens	0.0
W.P. Gerritsen	150.58253968253936
Jan Fontijn	85.47384559884587
Jan Barents	122.34682539682545
Arie-Jan Gelderblom	115.71269841269871
Ian	133.01587301587284
Johan Kerstens	96.09761904761928
L. Peeters	111.29603174603204
L. de Jong	110.20198412698448
Ineke Bulte	2.0
Simon Vestdijk	129.61071428571415
Miel Vanstreels	87.15396825396859
S.J. Lenselink	136.11309523809516
H.C. ten Berge	88.65396825396857
J.H. Plantenga	130.14404761904748
Frida Balk-Smit Duyzentkunst	2.0
J. Weisgerber	0.0
Clem Schouwenaars	88.15396825396859
L.M. van Dis	128.19642857142827
Eriek Verpale	88.95396825396855
D. van Blom	151.84285714285681
Anne de Vries	139.72142857142853
F. Oudschans Dentz	97.44325396825421
A.G.W. Severijnen	118.42023809523802
J. Bosch	112.87936507936537
Jan Klein	2.0
Heinrich von Kleist	1.0
Kitty M. van Leuven-Zwart	1.0
Salomon Müller	91.55952380952431
C. Bittremieux	0.0
J.H. Maureau	2.0
N. van der Laan	126.34642857142829
J.C. Brandt Corstius	161.8273809523814
Clemens Maria Beukers	0.0
L. Baudez	0.0
Eduard Verkade	109.03095238095263
Heere Heeresma	95.80317460317507
P.C. Molhuysen	2.0
J.M. Willeumier-Schalij	1.0
Willem van Doorn	126.34642857142829
Jan Baetens	1.0
Frans Ruiter	97.81428571428599
H. de Buck	126.34642857142829
A. Roland Holst	204.0261904761911
C.J.E. Dinaux	126.34642857142829
Erik van Ruysbeek	129.81309523809492
Edward Rombauts	0.0
Albert Helman	148.5273809523811
H.J.E. Endepols	130.9464285714283
Wim Rutgers	2.0
Marc Andries	120.1107142857143
Matthijs Vermeulen	117.24920634920657
S.J. van der Molen	126.34642857142829
W.J.H. Caron	132.79920634920623
Ad. Jansen	115.74761904761917
J. 't Hart	117.68373015873024
H. Engel	121.6801587301588
Pierre Brachin	135.7158730158729
Wim J. Simons	129.63253968253957
Adriaan van der Veen	127.67976190476163
J.P. Gumbert	119.6003968253969
Joris Ivens	112.16865079365112
Achilles Mussche	157.46190476190498
Jan H. de Groot	126.34642857142829
Jan Walravens	133.3964285714283
Johan Adam Wijnne	0.0
F.P.H. Prick van Wely	126.34642857142829
H.F.W.D. Fischer	121.6801587301588
