Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
F.J. de Holl	1388.080158730207	0.1794340748145384	0.00013376136971642589	0.0	0.00013376136971642589	0.0	2.7953469063756462e-05
Marcel Poot	1993.019047618969	0.24891901670800498	0.0056179775280898875	7.58219780634737e-05	0.00227394328517924	0.003344034242910647	0.008878106202908246
Johannes Romboldus van der Lans	1526.7067460317603	0.1951178214863672	0.003210272873194221	4.106000233029096e-06	0.0009363295880149812	0.00227394328517924	0.00017611818972906564
D. Simons	1963.9857142856422	0.24317209247663477	0.0029427501337613697	6.810458599432561e-05	0.0028089887640449437	0.00013376136971642589	0.0037574201035137592
Fransje Klaver	0.0	0.0	0.0005350454788657035	0.0	0.0	0.0005350454788657035	3.552025893195421e-97
H.P. van den Aardweg	2020.9476190475411	0.25010368520937465	0.00682182985553772	6.149863720663654e-06	0.006286784376672017	0.0005350454788657035	0.015963554814836432
J. Veerman	1579.5333333333256	0.20230149424892943	0.004681647940074906	3.364121896566244e-05	0.0008025682182985553	0.0038790797217763506	0.00026929324838274215
R.J. Forbes	1976.3714285713315	0.24749726371914216	0.005216693418940609	2.7677680027735853e-05	0.002541466024612092	0.002675227394328518	0.0048317444930913505
W.R.D. van Oostrum	0.0	0.0	0.0014713750668806848	0.0	0.0	0.0014713750668806848	3.552025893195421e-97
E. Zuidema	1573.4059523809415	0.19976536260798924	0.0009363295880149812	2.4646286979772636e-05	0.00040128410914927763	0.0005350454788657035	0.0003463510618720154
F.A. Stoett	2242.9095238095074	0.2723902887549136	0.016853932584269662	0.00028369831279218883	0.015516318887105402	0.001337613697164259	0.021052791444438265
Anton Roothaert	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
J. Overduin	1797.4619047618455	0.2270232035741697	0.0028089887640449437	1.0849823701438074e-05	0.0009363295880149812	0.0018726591760299624	0.0010495857427704094
Johannes Lindeboom	1956.347619047522	0.24505396798146434	0.012707330123060459	0.0008006840407241876	0.0029427501337613697	0.00976457998929909	0.004657210606231474
Joris Taels	1834.6142857142245	0.2320243253438402	0.00026752273943285177	0.0	0.00013376136971642589	0.00013376136971642589	0.0014822301439525465
Fred Weerman	1898.2690476190182	0.23112328108222333	0.01979668271803103	0.0004536302745729566	0.008293204922418406	0.011503477795612626	0.006944593790275878
Jan Vercammen	2319.1619047618465	0.2828074590124439	0.030631353665061527	0.0008638652890188921	0.0191278758694489	0.011503477795612626	0.04829974250147489
A.G.J. Hermans	1871.311904761843	0.23484738158924295	0.0009363295880149812	0.0	0.0009363295880149812	0.0	0.002543694213292761
Justus Meyer	1778.2904761904329	0.22474057718700446	0.003611556982343499	7.419920352322626e-06	0.0014713750668806848	0.002140181915462814	0.0009957825373846905
Rudolf Rasch	1461.8329365079649	0.184424039073002	0.0014713750668806848	2.143135106734821e-07	0.00040128410914927763	0.001070090957731407	0.00019452539818267235
K.H.R. de Josselin de Jong	2073.7214285713335	0.26118531626766556	0.008560727661851257	0.00012141007017222006	0.00227394328517924	0.006286784376672017	0.008801309853897652
