Author	Degree	In-degree	Out-degree	Betweenness	Closeness	Harmonic	Eigenvector	Clustering	Square_Clustering
Nico Frijda	0.0005369127516778523	0.0004026845637583892	0.00013422818791946307	0.0	0.1986758656104526	1560.2960317460359	0.00019663660153338127	0.25	0.0
Annet Mooij	0.0004026845637583892	0.00013422818791946307	0.00026845637583892615	4.2243151803399557e-07	0.00017897091722595077	1.5	8.157193187679064e-85	0.16666666666666666	0.0
Jolande Withuis	0.0009395973154362415	0.00013422818791946307	0.0008053691275167784	2.7961568275710406e-06	0.00017897091722595077	1.5	8.157193187679064e-85	0.21428571428571427	0.012646793134598013
C. Schmidt	0.0024161073825503354	0.001879194630872483	0.0005369127516778523	0.00010926415102060156	0.23475194773867145	1879.8404761904217	0.004516122698120984	0.33986928104575165	0.0018656716417910447
Joop van den Berg	0.003087248322147651	0.0026845637583892616	0.0004026845637583892	7.536188778413896e-07	0.21260303515541829	1724.1999999999864	0.003045617187377442	0.6047430830039525	0.0
Marius Buning sr.	0.004161073825503355	0.0009395973154362415	0.0032214765100671136	1.2967164644664164e-06	0.19780825033060428	1581.7436507936482	0.0008856475671907094	0.41375545851528384	0.05177916306260626
Antoine Bodar	0.001879194630872483	0.0012080536912751677	0.0006711409395973154	5.010760242197915e-06	0.1869886032767439	1478.1984126984285	0.00025991703595055576	0.34065934065934067	0.05692695214105793
Marijke Smalbraak	0.0013422818791946308	0.0	0.0013422818791946308	0.0	0.0	0.0	9.056303693276773e-101	0.011111111111111112	0.003875968992248062
J.H. Croon	0.002953020134228188	0.0026845637583892616	0.00026845637583892615	3.8812846799855165e-06	0.22442406821388083	1808.816666666633	0.0037561286112460833	0.5194805194805194	0.02857142857142857
Rogi Wieg	0.0013422818791946308	0.0012080536912751677	0.00013422818791946307	9.464685433870478e-07	0.2064133265369694	1633.9452380952232	0.0005941696006837809	0.43333333333333335	0.0
Peter Zonderland	0.0008053691275167784	0.0008053691275167784	0.0	0.0	0.2070145371756547	1629.6999999999782	0.00046848135555573896	0.6	0.0
Joost Zwagerman	0.004295302013422818	0.003087248322147651	0.0012080536912751677	0.00015022777278331126	0.1943427553998957	1556.121825396834	0.0004338742540643036	0.1280241935483871	0.0310192023633678
Marijke Spies	0.020805369127516776	0.016375838926174495	0.0044295302013422815	0.0006530212958363626	0.2559780146997109	2097.3571428570995	0.017495499909601017	0.2190408317263352	0.059017733104519084
Mieke B. Smits-Veldt	0.013959731543624159	0.006174496644295302	0.007785234899328858	0.0001256967959280017	0.21478731291386435	1756.1809523809434	0.004956204046290103	0.22306397306397308	0.04995407634424089
Martin Reints	0.0009395973154362415	0.0009395973154362415	0.0	0.0	0.20569192737990424	1625.0190476190298	0.0005046349395801941	0.4523809523809524	0.0
Laurens van Schie	0.0013422818791946308	0.00013422818791946307	0.0012080536912751677	4.4977030066491155e-06	0.19683723650771232	1539.162698412705	0.0001486920720355613	0.06666666666666667	0.0074850299401197605
Rudi Wester	0.002147651006711409	0.0009395973154362415	0.0012080536912751677	2.189053470325273e-05	0.1856051841607988	1470.8396825397072	0.00020169925540325525	0.13333333333333333	0.02386237513873474
Adriaan Venema	0.004563758389261745	0.004026845637583892	0.0005369127516778523	0.00015305076450948874	0.2475080110764571	1971.3642857142067	0.0038725632017821	0.225	0.07429322813938198
Hendrik Pierson	0.0004026845637583892	0.0004026845637583892	0.0	0.0	0.19991897394784303	1563.023412698406	0.00018306291655293788	0.0	0.0
Hans Groenewegen	0.002953020134228188	0.0004026845637583892	0.0025503355704697985	1.555800806801019e-05	0.17906935974692245	1415.5420634921013	0.00016917343471537435	0.13852813852813853	0.024320945561995683
Marc Reugebrink	0.009664429530201342	0.002013422818791946	0.007651006711409395	0.0005596003429278011	0.20987583503909107	1670.4369047618836	0.0007481659024059278	0.09404388714733543	0.02151632102011677
Ian Gibson	0.0010738255033557046	0.0004026845637583892	0.0006711409395973154	0.00010891589428202495	0.17338895012852393	1350.2218253968754	3.0376143870566443e-05	0.18518518518518517	0.008403361344537815
Nan Lenders	0.0009395973154362415	0.00026845637583892615	0.0006711409395973154	5.994994695684445e-06	0.14284033633865262	1096.3944444444617	4.3146013854433863e-07	0.2	0.008403361344537815
Jan Kostwinder	0.0006711409395973154	0.0005369127516778523	0.00013422818791946307	2.094773779537524e-08	0.18336503762982775	1450.4611111111396	0.00016939084130785154	0.6	0.0
Evert van Uitert	0.003624161073825503	0.0008053691275167784	0.0028187919463087247	0.00013065495521155177	0.18850895298547934	1490.9563492063605	0.0002564977874184732	0.08547008547008547	0.0189328743545611
Kees Mercks	0.00013422818791946307	0.00013422818791946307	0.0	0.0	0.1634256159596347	1261.5523809524263	7.454749937803902e-06	0.0	0.0
Greetje van den Bergh	0.0009395973154362415	0.0006711409395973154	0.00026845637583892615	2.1238888266603e-05	0.21186642871053157	1673.1499999999724	0.0006766636339912753	0.11904761904761904	0.0
Max van Rooy	0.0004026845637583892	0.00026845637583892615	0.00013422818791946307	0.0	0.21273246820865258	1674.2726190475823	0.0007055501223811861	0.6666666666666666	0.0
Edgar Rice Burroughs	0.0008053691275167784	0.0006711409395973154	0.00013422818791946307	6.309275800965745e-07	0.19175273749318653	1506.0436507936563	0.00018987515862355024	0.25	0.0
K. Kolthoff	0.0006711409395973154	0.00026845637583892615	0.0004026845637583892	2.9732901927385495e-05	0.21268622403052798	1674.454761904717	0.0006818415936740961	0.15	0.017857142857142856
Henry Schogt	0.00013422818791946307	0.0	0.00013422818791946307	0.0	0.0	0.0	9.056303693276773e-101	0.0	0.0
Geert Maessen	0.00013422818791946307	0.0	0.00013422818791946307	0.0	0.0	0.0	9.056303693276773e-101	0.0	0.0
Arjen Duinker	0.0012080536912751677	0.0009395973154362415	0.00026845637583892615	1.9640989400217434e-05	0.19184297407553624	1520.4813492063563	0.0002085420913737339	0.16666666666666666	0.0
K. Michel	0.002953020134228188	0.001879194630872483	0.0010738255033557046	0.0007808415276524286	0.20580546230232116	1617.9857142856995	0.0003436804230258825	0.09210526315789473	0.012448132780082987
Jan van der Waals	0.00013422818791946307	0.00013422818791946307	0.0	0.0	0.1515051592661084	1171.5765873016169	1.6360234098070703e-06	0.0	0.0
Graa Boomsma	0.003624161073825503	0.001476510067114094	0.002147651006711409	0.0006630061199826155	0.1838612334696198	1461.3742063492346	0.00021992718533463796	0.07163323782234957	0.0051752528816749
Anne Hallema	0.0012080536912751677	0.0008053691275167784	0.0004026845637583892	6.76869958716748e-05	0.23173831543942086	1827.964285714217	0.0014842986651640202	0.27941176470588236	0.027888446215139442
M.J. Trappenburg	0.0005369127516778523	0.00026845637583892615	0.00026845637583892615	3.217790209602993e-10	0.16025669393062225	1241.2880952381324	7.332877657593751e-06	0.4166666666666667	0.0
Patricia de Martelaere	0.0057718120805369125	0.0022818791946308723	0.0034899328859060398	6.35090255636214e-05	0.20986683135676423	1669.5523809523593	0.00092499916032844	0.20234113712374582	0.028612365404654394
G.C. Molewijk	0.0005369127516778523	0.0004026845637583892	0.00013422818791946307	7.720573469406598e-08	0.20247489089549997	1601.2388888888834	0.000338211914017106	0.25	0.0
C.J.F. Stuldreher	0.00026845637583892615	0.00013422818791946307	0.00013422818791946307	0.0	0.19685307790133896	1539.2960317460384	0.0001486920720355613	0.5	0.0
Helena Spanjaard	0.00013422818791946307	0.00013422818791946307	0.0	0.0	0.1968786870089838	1539.4960317460384	0.0001486920720355613	0.0	0.0
Liesbeth Dolk	0.005503355704697986	0.002147651006711409	0.0033557046979865767	0.00013039664674958747	0.21388579218809786	1722.7761904761776	0.0021667265364466925	0.21951219512195122	0.024710255849551718
Jero Gardenia	0.00013422818791946307	0.00013422818791946307	0.0	0.0	0.1968786870089838	1539.4960317460384	0.0001486920720355613	0.0	0.0
L. Geschiere	0.0044295302013422815	0.001879194630872483	0.0025503355704697985	6.132459973501025e-05	0.23330769930018003	1863.21904761899	0.003149828900736495	0.5907335907335908	0.06938124501571516
Theo Joekes	0.0013422818791946308	0.0013422818791946308	0.0	0.0	0.2107591474350877	1651.7095238094983	0.00039175496727750084	0.8	0.0
Fred Spier	0.0006711409395973154	0.00013422818791946307	0.0005369127516778523	1.3223888230551623e-07	0.17199296272988696	1330.8805555556178	1.7385969232120005e-05	0.25	0.01652892561983471
Dirk van Weelden	0.0012080536912751677	0.0012080536912751677	0.0	0.0	0.19404483303443046	1542.7031746031832	0.0004879923429922686	0.1527777777777778	0.0
Tobie Goedewaagen	0.00013422818791946307	0.00013422818791946307	0.0	0.0	0.18965301105667176	1466.6750000000209	5.499834879943856e-05	0.0	0.0
Oscar van Weerdenburg	0.0008053691275167784	0.0	0.0008053691275167784	0.0	0.0	0.0	9.056303693276773e-101	0.1	0.0707070707070707
