Author	DOD
Jan Philip de Bordes	5 januari 1899
Gerard Valette	1922
Max Rooses	15 juli 1914
L.A.J. Burgersdijk	15 januari 1900
Petrus Martinus Bots	12 mei 1918
M.E.F. Elout van Soeterwoude	29 augustus 1883
A.E.J. Holwerda	1923
Abraham Robert Arntzenius	16 juni 1920
David van Hoogstraten	21 november 1724
Carl Ludwig Lütkebühl jr.	1919
Gerard Heymans	1930
Virginie Loveling	1 december 1923
J. Röell	13 juli 1914
Jan Jacob van Geuns	27 december 1915
J.J.P. Valeton	14 januari 1912
J.D. de Jong	27 december 1927
R. Feith	21 februari 1897
François de Bas	22 februari 1931
H. Koekebakker	8 oktober 1890
Pol de Mont	29 juni 1931
J.A. Worp	28 augustus 1917
J.A. Bientjes	4 januari 1931
L. de Vlaming	
A.J.W. Farncombe Sanders	7 september 1896
Joh. Dyserinck	26 september 1912
George Eliot	22 december 1880
G.J. Grashuis	1920
H.L.F. Pisuisse	18 mei 1907
Jan van Beers	14 november 1888
Hermannus Bouman	17 oktober 1899
J.H. Hooijer	30 september 1892
Anthony Beaujon	12 december 1890
M.A. Perk	15 december 1916
Jac. Moleschott	20 mei 1893
Johannes Hermanus Gunning jr.	21 februari 1905
W.C. Mees	1970
Pieter Bruin	na 1869
H.L. Drucker	5 september 1917
R.P.J. Tutein Nolthenius	30 november 1939
E.B. Kielstra	4 juni 1920
B. Sijmons	28 maart 1935
Constantinus Bake	7 mei 1936
Josephine Giese	12 oktober 1926
Louis Couperus	16 juli 1923
J.W. van der Linden	1923
Hijman Binger	8 januari 1890
Jan Carel Matthes	1917
Jacob Kuyper Hzn.	3 februari 1908
Jan Izaak van Doorninck	19 november 1889
Martina Geertruida Sara van der Feen	25 februari 1929
W. Gosler	1921
Hélène Swarth	20 juni 1941
A. Bruining	20 november 1919
P.A.M. Boele van Hensbroek	26 september 1912
Fiore della Neve	17 september 1934
J.P. Hasebroek	29 maart 1896
J.C. Loman jr.	17 november 1897
Pieter Gerard van Schermbeek	25 mei 1901
Abraham Bredius	13 maart 1946
P.W.A. Cort van der Linden	15 juli 1935
Pierre Daniel Chantepie de la Saussaye	20 april 1920
C.H. den Hertog	31 oktober 1902
Marie Agathe Boddaert	12 april 1914
W.C. van Manen	12 juli 1905
B. Dorhout Mees	27 mei 1890
Willem van der Vlugt	5 november 1928
Theodoor Carel Gobée	22 september 1885
F.S. van Nierop	1924
A.W. Kroon-Star Numan	1925
Arnold Werumeus Buning	2 november 1933
Frans Netscher	19 november 1923
Geertruida Carelsen	4 juni 1938
Jan Six	8 december 1926
W.G.C. Byvanck	6 december 1925
F.J.L. Krämer	1928
Henri David Levyssohn Norman	7 december 1892
Christiaan Snouck Hurgronje	26 juni 1936
Adriaan Pit	24 november 1944
Elise Knuttel-Fabius	1944
Albartus Telting	5 augustus 1907
Johannes Mulder	
Joan Bohl	21 oktober 1908
S.E. Harthoorn	
Willem Pieter Cornelis Knuttel	13 maart 1921
G.W. Bruinsma	21 september 1914
Albertus Hendrikus Nijland	1894
Matthias de Vries	9 augustus 1892
Louis Trenard	1994
Gerard Slothouwer	
Charles François van Duyl	10 februari 1906
Emile Seipgens	25 juni 1896
Th. Swart Abrahamsz	1912
Willem A. Hecker	15 januari 1909
Willem Jacob Manssen	30 juni 1923
J.H. Kips	3 februari 1942
George Alexander Wilken	1 juli 1891
N.J. Singels	28 december 1931
Samuel Muller	25 februari 1875
Herman Frederik Carel ten Kate	4 februari 1931
Pieter Nicolaas van Kampen	19 mei 1888
A. Kluijver	1938
Frits Lapidoth	29 oktober 1932
Jan F. Beekman	
J.H. van den Bosch	18 november 1941
J. Menno Huizinga	
J.J.A.A. Frantzen	15 november 1923
J.E. Sachse	20ste eeuw
H. Was	1911
H.J. Polak	22 juni 1908
Marcellus Emants	14 oktober 1923
W. Jaeger	
C.A. Steger	24 mei 1904
J.A. Tours	
Izaak Jan le Cosquino de Bussy	9 oktober 1920
J.B.C. Adriaensen	20 januari 1932
Jacob Samuel Speyer	2 november 1913
W.L. Penning	29 februari 1924
R.A. Kollewijn	7 februari 1942
N.P. van den Berg	1917
Johanna A. Wolters	1950
C.C. Uhlenbeck	12 augustus 1951
G.J. Boekenoogen	26 augustus 1930
L.W.C. van den Berg	3 maart 1927
A.J. Immink	1914
P.J. Blok	24 oktober 1929
Leo Simons	11 juni 1932
H. J. Eymael	1932
G.H. Priem	1933
S.J. Warren	1910
K.O. Meinsma	8 oktober 1929
J.H. Groenewegen	1922
J.F. van Bemmelen	6 augustus 1956
Leopold	16 november 1926
A.J. Bothenius Brouwer	6 februari 1947
J.G. Gleichman	30 april 1906
Hendrik Barend Greven	13 december 1933
Bernhard van Meurs	30 april 1915
Wolfgang Brandt	
Jan Frederik Niermeyer	4 december 1923
R.C. Boer	20 augustus 1929
Willem Frederik Andriessen	5 februari 1906
Herman Heijermans	22 november 1924
L. Knappert	4 juni 1943
Edward B. Koster	3 juli 1937
Marie Snijder van Wissenkerke	1945
Arnoldus Nicolaas Jacobus Fabius	18 juli 1921
M. Straub	1916
Samuel Kalff	1932
J.P. Moltzer	1907
H. Logeman	27 januari 1936
Willem Bilderdijk	18 december 1831
S.R. Steinmetz	1940
B.J.H. Ovink	1944
J.E. Enklaar	27 april 1926
Frans Coenen	23 juni 1936
Elie van Rijckevorsel	18 oktober 1928
Philippe Zilcken	3 oktober 1930
Cyriel Buysse	25 juli 1932
A.W. Pulle	
Jan Veth	1 juli 1925
Joannes van der Vliet	17 juli 1902
L. Serrurier	7 juli 1901
Nicolaas Dirk Doedes	29 juni 1906
Betsy Juta	
August Gittée	1909
Willem Gerard van Nouhuys	31 augustus 1914
J.F.D. Blöte	1 mei 1935
anoniem Ridder metter swane	
Ch.M. van Deventer	27 augustus 1931
C.H.H. Spronck	1932
Johannes Theodorus Petrus de Groot	1922
F.V. Engelenburg	21 augustus 1938
Gerard Vissering	19 december 1937
H.Z. Zegers de Beijl	15 oktober 1908
Frederike J. van Uildriks	12 juli 1919
H.S.M. Wickevoort Crommelin	1942
Philippus Samuel van Ronkel	26 juni 1954
J.H. van 't Hoff	1 maart 1911
A.G. van Hamel	23 november 1945
H. Heukels	1936
G.F. Haspels	16 december 1916
Willem Duflou	3 septemer 1939
C. Winkler	1941
Jan Marcus Hoogvliet	25 juli 1835
C.A. Pekelharing	1922
H.Y. Groenewegen	1930
Foeke Buitenrust Hettema	5 oktober 1922
W.L.P.A. Molengraaff	1931
Ida Heijermans	8 april 1943
Jacob Gerard Patijn	27 maart 1911
W.M. Engelberts	
H.A. Lorentz	4 februari 1928
H. Zwaardemaker	19 september 1930
Augusta de Wit	9 februari 1939
Hendrik Clemens Muller	21 juni 1927
L.J. Plemp van Duiveland	10 juni 1940
J. Mathijs Acket	1933
G. den Tex	
H. Tz. Pyttersen	1919
Johan Hora Adema	1928
Maurits Wagenvoort	30 december 1944
Carel Scharten	30 oktober 1950
C.A.E. Wichmann	28 november 1927
D.C. Hesseling	6 april 1941
Frederik van Eeden	16 juni 1932
Frank van der Goes	5 juni 1939
M.W.F. Treub	24 juli 1931
B.D. Eerdmans	29 april 1948
W.Ph. Scheuer	1904
Joh. H. Been	23 december 1930
H.A. Kooyker	4 augustus 1904
F. Beelaerts van Blokland	27 maart 1956
G.H. Marius	1919
G.J. Kolff	
H.W.Ph.E. van den Bergh van Eysinga	15 april 1920
Hendrik Doeff	19 oktober 1835
O.M. de Munnick	21 oktober 1915
Anna van Hogendorp	5 maart 1915
J.H. van den Broek	4 mei 1896
Gerrit Halfcaegh	
Herman Muntinghe	24 april 1824
Gianni Riotta	
J.W. Doyer Jz.	1917
G.P. Rouffaer	1928
Margo Scharten-Antink	27 november 1957
A.W. Byvanck	16 augustus 1970
Johannes Hermanus Gunning J. Hzn.	20 juni 1940
D.G. Jelgersma	1930
Margaretha Meijboom	26 september 1927
D.E. Siegenbeek van Heukelom	10 oktober 1900
D. Simons	1930
Egberdina Anna Junius	1951
F.A.F.C. Went	1935
Julius de Boer	1966
Gerrit van Gorkom	14 januari 1905
Hendrik Johan Haverman	1928
L.S. Meijer	
H.T. Colenbrander	8 oktober 1945
Aletta H. Jacobs	10 augustus 1929
Paul François Hubrecht	7 juli 1902
Charlotte van Herwerden	
C.H.Th. Bussemaker	6 september 1914
L.E. Visser	1942
Anna Ekker	1960
Conrad Th. van Deventer	27 seprember 1915
Judith Viorst	
Frans Mijnssen	20 januari 1954
Ida Haakman	
Nellie van Kol	24 februari 1930
Fleur Bourgonje	
Anna Germonprez	4 juli 1957
M. Tonnet	
Gerard van Eckeren	22 oktober 1951
M.J. Pijnappel	31 januari 1906
Aloysius Brouwer Ancher	26 december 1900
Hugo Krabbe	4 februari 1936
J.W. Jenny Weijerman	
P.C. Boutens	14 maart 1943
Bas Veth	22 februari 1922
C.H. Kühn	1968
J.C. van Leyden	1939
W.P. Kops	27 juni 1923
S. van Aken	
G.H. Betz	1 september 1900
A.D. van Assendelft de Coningh	15 juli 1923
J. Marx	
Bernard Gewin	11 maart 1873
C.G.S. Sandberg	1954
T.J. de Boer	10 januari 1942
Herman Robbers	15 september 1937
C.A. Worp-Roland Holst	1934
Arnoldus Wilhelmus Stellwagen	1 november 1918
J.H. de Veer	1 mei 1915
G.H. van Waveren jr.	
N. Mansvelt	6 februari 1933
J.C.G. Grasé	
Guido Gezelle	27 november 1899
H. van Hogendorp	1929
Gijsbert Karel graaf van Hogendorp	5 augustus 1834
Johannes Hasselman	27 maart 1895
Marie Metz-Koning	27 oktober 1926
Gerard van Hulzen	18 oktober 1940
H.R. Offerhaus	1952
J.E. Jasper	1945
J.J.G. Vürtheim	1928
Richard de Cneudt	29 januari 1959
E. van Hille	
J.P. van Rossum	
C.K. Elout	4 december 1947
J. Mar. Ruys	
Maurice Wilmotte	1942
J.A. Simons-Mees	11 maart 1948
Antoon Derkinderen	2 november 1925
P.J. van Löben Sels	1927
A.W. Nieuwenhuis	1953
I. Kooistra	1923
G.P. Bakker	20ste eeuw
P. Leendertz (jr.)	1936
B. Symons	
Willem Lodewijk van Helten	17 maart 1917
Alfred Listal	1956
Gideon Busken Huet	10 november 1921
L.N. de Jong	20ste eeuw
K.C. Boxman-Winkler	november 1924
Dan. Engelen	2 december 1857
F.J.L. Rompel	1 april 1940
H.G. van der Vies	24 april 1936
T.J. Bezemer	29 juni 1944
Jacobus Boelen Jhz.	7 april 1876
L.A.A. van Kervel	
J. Everts	5 februari 1954
Maria Muller-Lulofs	23 januari 1954
Paul Fredericq	23 maart 1920
Elizabeth Visser	1987
Israël Querido	5 augustus 1932
Gerrit Simons	
Johan de Meester	16 mei 1931
Louis Carbin	17 februari 21ste eeuw
Theodoor Bernard van Lelyveld	1954
Johanna Naber	30 mei 1941
Martina G. Kramers	1934
C.B. Hylkema	1948
G. van Rijnberk	1953
W. de Vletter	
M.J. Brusse	6 januari 1941
Hélène Mercier	1 februari 1910
D. Bos	6 mei 1916
H.L. Oort	1925
Pieter Corbeels	21 juni 1799
Johannes Everts jr.	1945
F. de Haan	1938
F.A. van Engen	
L.F. de Beaufort	11 mei 1968
Sara Bouterse	20ste eeuw
J.H. Blankert	1935
Hendrik Mulder	1969
Wilhelmus Johannes Kühler	18 november 1946
G.A. van den Bergh van Eysinga	26 mei 1957
W.E. van Dam van Isselt	5 januari 1951
Johan Christiaan van Eerde	1 april 1936
W. Vollgraff	1967
G. Polvliet	20ste eeuw
Jan L. Walch	12 december 1946
Ch.F. Haje	1938
A. Hotz	1930
Sam Goudsmit	1954
A. Kluyver	1938
L.H. Grondijs	17 maart 1961
Jan Limburg	
Karel Vos	30 mei 1926
Jozef Israëls	12 augustus 1911
Tine van Buul	26 januari 2009
Martha Johanna Hamaker	
A.E. Thierens	29 augustus 1865
Gustaaf D' Hondt	30 april 1938
J.J. Salverda de Grave	22 maart 1946
J. de Jager	
J.W.T. Cohen Stuart	4 mei 1908
H.J. Hamburger	1924
W.H. Hasselbach	
J.M. Hoogvliet	22 juni 1924
J.H. Deibel	20ste eeuw
Nicolaas Japikse	13 maart 1944
A.J.G. Maclaine Pont	4 juli 1955
Anna van Gogh-Kaulbach	28 januari 1960
Louis Havet	1925
J. van den Bergh van Eysinga-Elias	1957
M.H. Lem	
A. Meyroos	
J. Hobma	
I. Zeehandelaar	
H.P. Staal	15 oktober 1920
J. Boudewijnse	
J.D.C. van Dokkum	1938
Leo van Puyvelde	27 oktober 1965
Samuel Pierre l' Honoré Naber	14 mei 1936
Jan Jacob Thomson	1 januari 1961
F. Schmidt-Degener	21 november 1941
Arthur van Schendel	11 september 1946
Johannes Aarnout Loebèr jr.	20ste eeuw
J.H.F. Kohlbrugge	1941
H. Buringh Boekhoudt	12 juli 1923
Nico Oosterbeek	
Th. van Ameide	17 juli 1955
P.N. van Eyck	10 april 1954
C. te Lintum	7 februari 1930
O. Oppermann	1946
P. van Romburgh	1945
S. Bonn	14 augustus 1930
Hendrika Boer	
J.A. van Hamel	18 oktober 1964
Pieter Valkhoff	10 maart 1942
Geerten Gossaert	27 oktober 1958
Rommert Casimir	13 maart 1957
Johannes Benedictus Kan	28 juni 1902
Eltjo Aldegondus van Beresteyn	14 september 1948
William Davids	1920
Johanna Westerdijk	15 november 1961
H.G. van der Waals	
G.J. Nieuwenhuis	1931
Dorothée Buys	
Jacob Israël de Haan	30 juni 1924
D. van Blom	29 november 1938
Adriaan van Oordt	9 oktober 1910
E.M. ten Cate	21 december 1926
J.H. Holwerda	1951
Herman Middendorp	12 maart 1941
Jan Jelles Hof	13 februari 1958
Nico van Suchtelen	26 augustus 1949
Multatuli	19 februari 1887
C.J. Hasselman	1944
J. Prinsen J.Lzn	13 juli 1935
Willem Meijer	3 januari 1926
F.M. Wibaut	29 april 1936
Herman Baccaert	18 juni 1921
J.Ph. Vogel	1958
P.H. van Moerkerken jr.	21 maart 1951
H.N. de Fremery	1940
Jac. P. Thijsse	8 januari 1945
J.B. Kan	8 mei 1947
Jan Slingenberg	1929
H.F. Jonkman	
G.J. Heering	18 augustus 1955
J.J. Tesch	7 augustus 1954
P. Otten	1972
Coen Hissink	1942
J.J. Bekaar	20ste eeuw
Wilhelm Loeb	23 januari 1950
Ina Boudier-Bakker	26 december 1966
Aart van der Leeuw	17 april 1931
J.D. Bierens de Haan	27 september 1943
Nicolaas Messchaert	13 juli 1833
A.S. van Oven	20ste eeuw
Just Havelaar	3 februari 1930
Frederik Daniel Eduard van Ossenbruggen	1950
Hendrik Onnen	1927
Jan de Gruyter	14 augustus 1932
Johan Toot	
Johan Huizinga	1 februari 1945
H.L. de Beaufort	1953
Richard Roland Holst	31 december 1938
Th.M. Roest van Limburg	1 april 1935
C.E. Hooykaas	12 juni 1933
H. Burger	1957
Willem Kalma	
H.J.C.G. Eilbracht	
J. Bosboom Nz.	
Eduard Thorn Prikker	1936
J. Philip van Goethem	1913
Annie Salomons	16 januari 1980
H.J. Westerling	
Jacobus Gerardus Veldheer	1954
Ernst Heldring	1954
Marie Loke	1916
J.C. Hol	
Johan van Meurs	
Peter Spaan	1948
N.H. Swellengrebel	1 januari 1970
A.W. Weissman	13 september 1923
Anton Reinhard Falck	16 maart 1843
Leonie van Nierop	
C. Pekelharing	1921
J.J.B. Elzinga	20ste eeuw
Johan Wesselink	na 1969
J. Berlage	17 november 1939
H.P.N. Muller	11 augustus 1941
J. Rietema	1970
Jan Overduin	11 september 1958
Gerrit Kalff jr.	1 augustus 1955
Jo van Ammers-Küller	23 januari 1966
E. W. Holthuysen	1834
M.A. van Herwerden	1934
J.G. Sleeswijk	5 juni 1969
Frans Bastiaanse	12 juni 1947
A.W. van Renterghem	1927
François Pauwels	8 januari 1966
Jan Prins	9 februari 1948
P.F.H. Fromberg	1858
G.J. Hoogewerff	25 maart 1963
J. de Wit	
F. de Sinclair	1953
Gerard van den Hoek	12 december 1916
Frank Gericke	1976
Zadok Stokvis	18 juli 1947
A.H. Blaauw	11 maart 1942
Kornelis Sneyders de Vogel	26 augustus 1958
G.C.J. Vosmaer	1916
C.A. van Manen	
C. Becker	2 augustus 1571
F.E. Posthumus Meyjes	1926
Tannelie Blom	
F.W.J.G. Snijder van Wissenkerke	5 maart 1941
Matthée Corneille Valeton	1942
L.L.C.M. van Outhoorn	
Jan van Rossem	
Joseph Loopuit	10 maart 1923
Halbe Binnerts	5 januari 1922
Pieter Willem de Koning	1931
Jean-Pierre van Rossem	13 december 2018
Top Naeff	21 april 1953
A. van Collem	3 november 1933
Em. Querido	23 juli 1943
Th. de Meester	27 december 1919
Tobie Goedewaagen	4 januari 1980
W. Nolen	24 maart 1939
Wally Moes	1918
D. Fock	17 oktober 1941
P. van Schilfgaarde	1976
W. de Sitter	20 november 1934
Karel Wasch	1967
Johan W. Schotman	14 maart 1976
Jac. D. Huizinga	24 december 1736
S. Pinkhof	31 januari 1945
A.A.H. Struycken	1923
A.J. Wensinck	19 september 1939
B.C.J. Loder	1935
Käthe Mussche	1974
J.P. Kuenen	1922
K. Jansma	2 maart 1972
Jac. van Looy	24 februari 1930
C.T. van Valkenburg	1962
S. Ritsema van Eck	
R. de Josselin de Jong	1958
Jan van Nijlen	14 augustus 1965
Henri van Booven	31 januari 1964
Jelte Dijkstra	1946
P.H. Ritter jr.	13 april 1962
J.J. Boasson	1967
J.M. van IJssel de Schepper-Becker	1973
Adriaan J. Barnouw	27 september 1968
P. Geyl	31 december 1966
Petrus Raëskin	1932
M.J. Sirks	20 mei 1966
Frits Hopman	4 maart 1932
Dirk Merens	
Herman Lysen	1948
J. van Oudshoorn	31 juli 1951
Isidoor Teirlinck	27 juni 1934
J. de Marees van Swinderen	24 september 1947
R.A. Verweij	
Meint Joustra	1926
E.C. van Dorp	6 september 1945
W. Elink Schuurman	
A. van Hengel	
G.F.E. Gonggrijp	1960
Multavidi	
W.B. Kristensen	1954
H. van Loon	
Dan. de Lange jr.	
C. Lekkerkerker	1942
J. Rietsema	
Marie Schmitz	10 juni 1972
H. Oort	24 juli 1849
J.A. Eigeman	
A.H.M.J. van Kan	6 juni 1944
Willem Jan Mari van Eysinga	24 januari 1961
Martin Albers	20ste eeuw
A.C. Josephus Jitta	1958
K.H. Roessingh	29 oktober 1925
G. Titta Rosa	7 januari 1972
S.H. de Roos	3 april 1962
Laurens van der Waals	30 augustus 1968
Henriette Laman Trip-de Beaufort	26 maart 1982
Andrew de Graaf	1945
Simon van Brakel	5 februari 1884
P.C.J.A. Boeles	6 mei 1961
Job Steynen	1950
Jan Romein	16 juli 1962
Emmanuel de Bom	14 april 1953
Madeleine Böhtlingk	14 december 1944
Herman Poort	7 september 1933
Cornelis Veth	5 maart 1962
D.M.G. Koch	1960
Timon Hendrik Fokker	6 januari 1956
A.J. de Sopper	1960
Herman Frijda	3 oktober 1944
Marie Cremers	9 maart 1960
C.A. Verrijn Stuart	26 oktober 1947
Jeanne van Schaik-Willing	1 oktober 1984
Jac. C. Bloem	1 september 1902
Johannes van der Elst	13 december 1948
Hk. de Vries	1954
E.E. Gewin	5 januari 1961
J.A. Schroeder	1956
Is.P. de Vooys	19 februari 1955
Antoon Thiry	13 juli 1954
H.A. Enno van Gelder	11 mei 1973
Marcus van Blankenstein	18 september 1964
Johan Fabricius	21 juni 1981
Jo de Wit	11 november 1973
Henri Bakels	20ste eeuw
Hendrika Ghijsen	25 maart 1976
F. Adama van Scheltema	
A. Geyl	
L. Ali Cohen	1970
Achilles Mussche	30 augustus 1974
Johan Huijts	1995
W.M.F. Mansvelt	1945
Lode Baekelmans	11 mei 1965
J.P. Fockema Andreae	27 juli 1949
Edith Werkendam	23 april 1953
J. Faber	1952
Frits G. Tingen	1982
A.M. Hammacher	19 april 2002
Isidoor van Beugem	13 december 1943
Elisabeth Reitsma	3 oktober 1982
L.M.A. von Schmid	19 februari 1942
Sybrandi Braak	13 maart 1953
C.M. van Hille-Gaerthé	31 december 1958
Petrus van Renesse	15de eeuw
André Jolles	22 februari 1946
E.F. Kossmann	1945
D.Th. Jaarsma	1959
B.H. Rethmeier	
Gerbert Scholten	
E.C. Abendanon	5 augustus 1962
F. Dijkema	3 maart 1944
J.P.A. François	7 oktober 1978
H.H.J. Moulijn-Haitsma Mulier	1948
Nine van der Schaaf	16 juli 1973
Jo Landheer	7 oktober 1986
P. Verhagen Lzn.	
A.B. Droogleever Fortuyn	13 augustus 1970
J. Burger	
J.J.L. Duyvendak	9 juli 1954
Gerard Brom	30 november 1959
J.A. Lambert-van der Kolf	20ste eeuw
C. Bakker	1933
J. Bierens de Haan	18 november 1971
J.W. Marmelstein	
Miek Janssen	1953
G.J.D.C. Stempels	
Jenny Mollinger	1958
W. Kuenen	
A.S. Oppenheim	
J.M. Bottemanne	15 april 1936
Adriaan Daniel Fokker	24 september 1972
Willem Leendertz	11 juli 1970
Beatrice Willing	
J.J. van Loghem	1968
Frans Maurits de Jaeger	2 maart 1945
Jooske Brandeler-den Beer Poortugael	14 oktober 1983
J. Aalbers	
C.W. van der Pot	26 juni 1960
G.J. Geers	2 mei 1965
Cornelia Serrurier	1962
J.P. Wesselink-van Rossum	1930
H.M.J. Oldewelt	1986
G.W.J. Bruins	22 maart 1948
Elize van Kaathoven	
J.H. Kramers	17 december 1951
Siegfried E. van Praag	16 maart 2002
Teatse Eeltsje Holtrop	1925
A.M. de Jong	21 november 1969
Constant van Wessem	21 december 1954
Daniël Crena de Iongh	26 november 1970
Sybrand Allard Waller Zeper	4 januari 1937
G.H. Hintzen	1932
H. Enno van Gelder	24 juni 1960
H.C. Hartevelt	20ste eeuw
Albert Plasschaert	1941
Johannes Tielrooy	17 augustus 1953
Theodoor Jan Stomps	1973
H.L. van Oordt	1935
W.E. van Wijk	14 nomvember 1961
G.J.C.A. Pop	20ste eeuw
René Klinkenbergh	1973
J.C. Baak	25 augustus 1945
Urbain van de Voorde	16 juli 1966
J.A.A.H. de Beaufort	8 april 1947
Wouter Hutschenruyter	1943
P.E. van Renesse	
C.J. Wolterbeek	23 mei 1845
N.J. Krom	8 maart 1945
G.A.J. Hazeu	1929
Agatha Seger	1993
H.L. van Duyl	8 december 1942
Elisabeth Zernike	12 maart 1982
Willem de Mérode	22 mei 1939
Philippus van Blom	13 april 1910
Pierre Blussé	19 november 1908
Willem van der Kaay	29 juli 1918
A. Kool	
Lodewijk Franck	31 december 1937
D. Loenen	24 mei 1966
G.A. van Klinkenberg	2003
J.W. Teillers	
P.J. Meertens	28 oktober 1985
A. Gildemeester	12 maart 1901
A.E. Kluit-de Clercq	1930
F.C. Dominicus	9 juni 1976
Willem de Clercq	4 februari 1844
E.D. van Dissel	7 november 1959
H. Ribbius	
P. Roosenburg	
W. Feuilletau de Bruyn	13 mei 1972
W.H. Staverman	19 november 1956
J.H. van Zanten	1944
Ferrad Whaley Hudig	31 maart 1937
Willem van Doorn	1959
A.G.N. Swart	20ste eeuw
J. Reitsma	
H.T. de Graaf	2 december 1930
J.P. van Limburg Stirum	1948
J.C.C. Tonnet	
G.J. Morsch	
J.E. van der Pot	21 februari 1968
C. Wolterbeek	
Arthur J.H. Cornette	22 januari 1945
S.I. van Zuylen van Nyevelt	
D. Merens	
Boris Raptschinsky	1983
A.J. van der Steur	13 december 1953
A. Plate	1953
W. Kramer	27 november 1962
A.W.C. Zuidema	
Willem Pijper	maart 1947
Wilhelm Martin	10 maart 1954
J.Z. Kannegieter	1979
Abraham Benjamin Cohen Stuart	2 september 1955
W.A.P. Smit	20 juni 1986
C. de Boer	7 augustus 1957
Reinier van Genderen Stort	7 januari 1942
