Author	DOD
A. Quak	
H. van der Hoeven	1924
Cornelis Marinus Francken	4 juli 1900
W.A. Reiger	10 juli 1910
Meinardus Siderius Pols	28 december 1897
M.T.H. Perelaer	2 januari 1901
R.P. Mees Azn.	4 juni 1915
G.H.J. Elliot Boswel	18 juni 1874
W.C.D. Olivier	1885
Henricus Oort	13 december 1927
P.J. de Roode	1880
W.M. Logeman	23 januari 1894
Simon Gorter	5 juni 1871
Joanan Rutgers	
Charles Boissevain	5 mei 1927
M.W.C. Gori	26 december 1890
Johan Gram	24 februari 1914
Willem Johannes Franciscus Nuyens	8 december 1894
Hendrik Hooyer	30 september 1892
Peter van Os	1542
D.J. Mom Visch	
Michaël Wilhelm Scheltema	11 mei 1904
Peter van Bosse	21 februari 1879
J. l' Ange Huet	1924
W.A. van Rees	4 juli 1898
Matthijs Salverda	11 juni 1886
E.J.P. Jorissen	1912
Gerard Keller	10 januari 1899
François de Casembroot	14 april 1895
W.P. Sautijn Kluit	19 september 1894
Isaac Arnold Lamping	1905
H.C. Rogge	29 augustus 1905
Anton Gillis Cornelis van Duyl	22 juli 1918
M.A.N. Rovers	23 juni 1898
J.J. Cornelissen	15 juni 1891
A.L.H. Ising	22 oktober 1898
Jérome Alexandre Sillem	29 april 1912
Tobias van Westrheene Wzn	4 oktober 1871
G.M. Boissevain	19 november 1925
George Lodewijk Kepper	1919
H.P. van Karnebeek	10 oktober 1879
H. van Herwerden	18 november 1910
Cornelius Marius Kan	1919
J.S.G. Gramberg	12 oktober 1888
C.J.F. Mirandolle	21 juni 1884
H.C. van Hall	1874
T.J. Stieltjes	23 juni 1878
P.J.W. Teding van Berkhout	6 januari 1895
Hendrik Pierson	1923
Willem Pieter Wolters	19 juli 1891
Adriaan van Eck	20 december 1889
H. Kern	4 juli 1917
W. Koster Gzn.	7 juli 1907
Sadi de Gorter	1994
G.A. van Hamel	1 maart 1917
Cornelis Bellaar Spruyt	28 april 1901
P. van Geer	3 oktober 1919
Jan Karel baron van Goltstein	17 februari ca. 1872
Balthazar Heldring	18 juli 1907
Martinus Leopold	4 juni 1905
M.H. du Croo	23 april 1951
Victor de Stuers	1916
Philip Reinhard Hugenholtz	16 mei 1889
Willem Arnold Pieter Pistorius	oktober 1893
B. Carsten	13 december 1892
Aart Admiraal	12 november 1878
Pieter Marinus Netscher	12 januari 1903
Jean Baptist van Hugenpoth tot den Beerenclauw	6 november 1877
Bruno Jz. Tideman	17 september 1908
Hendrik Wolfgang van der Meij	1914
Th.H. MacGillavry	1921
N.G. Cnoop Koopmans	1911
J.N. van Hall	1 oktober 1918
Johannes Bodel Nijenhuis	8 januari 1872
Johan Hermann Christian Heyse	6 augustus 1913
D. de Loos	5 januari 1908
S.M.S. de Ranitz	1916
Herman François Waller	1919
A.J.C. Geerts	8 augustus 1883
Hugo Beyerman	6 april 1913
Willem Kloos	31 maart 1938
H.J. van Ankum	4 juli 1940
Pieter Heering	7 december 1921
W.A. Verschuer	27 september 1898
W.C. Hojel	10 februari 1886
W. Heineken	
H.Q. Janssen	12 mei 1881
A.C. Loffelt	24 september 1906
Jan Willem Gerbrandt van Oordt	25 mei 1904
Ocko Wicher Star Numan	4 november 1899
P. de Boer	3 april 1890
L.M.J. Glasius	
H. van de Stadt	1915
Jacob Paulus Amersfoordt	1 februari 1885
M.C.L. Lotsij	28 oktober 1910
Jacob Dirk Veegens	27 december 1910
R.A. Mees	1885
Pieter Antonie van der Lith	17 maart 1901
A.P.C. van Karnebeek	1925
Jan Hartog	26 september 1904
W.K. van Dedem	3 april 1895
Floris der Kinderen Fzn.	?
Joan Frederik van Oordt	1918
Adriaan Huet	5 juni 1899
Barthold Jacob Lintelo de Geer van Jutphaas	4 augustus 1903
Daniël Hartevelt	30 oktober 1896
Elise Adelaïde Haighton	11 augustus 1911
Constantijn	23 oktober 1911
J.H.F. Sollewijn Gelpke	9 oktober 1890
Tijs Terwey	17 september 1893
Gerardus Petrus Booms	23 februari 1897
Pierre Joseph Henry Baudet	16 mei 1878
C.A. Crommelin	1 juli 1965
P.J. Cosijn	26 augustus 1899
A.T. Reitsma	1880
Taco H. de Beer	12 september 1923
J.L. Hoorweg	1919
Jeronimo de Bosch Kemper	20 oktober 1876
Annaeus Frederik Eilerts de Haan	28 december 1899
Frederik Christiaan de Brieder	1896
Rudolf Cornelis Hendrik Römer	24 oktober 1886
D.W. Rost van Tonningen	
F.V.H.A. de Stuers	29 december 1881
F. de Witt Huberts	20ste eeuw
C.D.H. Schneider	16 december 1925
Willem Bernard Johannes van Eyk	12 september 1899
J.C. de Marez Oyens	1911
Ewaldus Daniël Pijzel	30 januari 1926
N. Donker	1896
M. de Ras	4 mei 1920
