Author	POB
C. Terburch	Buitenzorg
Jean Charles Naber	Haarlem
J.C. Costerus	Sneek
G. Kalff	Zwolle
G. de Bosch Kemper	Amsterdam
Emile Habets	
Daniël de Lange	Rotterdam?
Maurits Smit	
T.H.F. van Riemsdijk	Maastricht
Nicolaas de Roever	Amsterdam
F.P. ter Meulen	
A.L. de Rop	Den Haag
C. Honigh	Koog a/d Zaan
A.C. Waller	
[tijdschrift] Vaderlandsche Letteroefeningen	
H.E. Beunke	Middelburg
Jan de Louter	
H.G. Roodhuyzen	
Melchior Treub	Voorschoten
L.R. Koolemans Beynen	Den Haag
Anth. Grolman	Utrecht
G.E. Langemeijer	Dieren
K.W. van Gorkom	
Albert Jan ten Brink	Appingedam
Frederik van Hogendorp	Den Haag
H.L. Berckenhoff	Purmerend
H.U. Meyboom	Hornhuizen
Henri Raloff	
A.L.W. Seyffardt	
M. van Andelst	
J.C.M. van Riemsdijk	
J.J.L. ten Kate	Den Haag
Anton Gerard van Hamel	Haarlem
Robert Macalester Loup	Elst
Anne Busken Huet-van der Tholl	Haarlem
Jacob de Witt	Dordrecht
Johannes Reitsma A.Tzn.	Oudemirdum
Gerrit de Vries	Haarlem
A.S.C. Wallis	Utrecht
Jan Philip de Bordes	
Max Rooses	Antwerpen
L.A.J. Burgersdijk	Alphen aan den Rijn
Petrus Martinus Bots	Nieuwkoop
A.E.J. Holwerda	
David van Hoogstraten	Rotterdam
Carl Ludwig Lütkebühl jr.	Amsterdam
T.M. Tromp	
Virginie Loveling	Nevele
J. Röell	Haarlem
J.D. de Jong	Den Haag
R. Feith	Appingedam
François de Bas	Den Haag
H. Koekebakker	Wormerveer
Pol de Mont	Wambeek
A.A.W. Hubrecht	
J.A. Worp	Almelo
Gerard Valette	
J.A. Bientjes	Hellevoetsluis
Gerard Heymans	
A.J.W. Farncombe Sanders	Medemblik
Joh. Dyserinck	Haarlem
George Eliot	Warwickshire
L. de Vlaming	
H.L.F. Pisuisse	Rotterdam
Jan van Beers	Antwerpen
Hermannus Bouman	Groningen
J.H. Hooijer	Zaltbommel
Anthony Beaujon	Den Haag
M.A. Perk	Delft
Jac. Moleschott	Hertogenbosch
Johannes Hermanus Gunning jr.	Vlaardingen
W.C. Mees	
H.L. Drucker	Amsterdam
R.P.J. Tutein Nolthenius	Abcoude
E.B. Kielstra	Leeuwarden
B. Sijmons	Rotterdam
Constantinus Bake	Amsterdam
Josephine Giese	Den Haag
Louis Couperus	Den Haag
Willem Pleyte	Hillegom
J.W. van der Linden	
Hijman Binger	Amsterdam
Jan Carel Matthes	Noordeloos
Jacob Kuyper Hzn.	Rotterdam
Jan Izaak van Doorninck	Deventer
Martina Geertruida Sara van der Feen	Middelburg
M.E.F. Elout van Soeterwoude	Den Haag
W. Gosler	Tilburg
Hélène Swarth	Amsterdam
A. Bruining	Pietersbierum
P.A.M. Boele van Hensbroek	Den Haag
Fiore della Neve	Leiden
J.P. Hasebroek	Leiden
J.C. Loman jr.	Amsterdam
Pieter Gerard van Schermbeek	Elst
Abraham Bredius	Amsterdam
P.W.A. Cort van der Linden	Den Haag
Pierre Daniel Chantepie de la Saussaye	Leeuwarden
C.H. den Hertog	Den Haag
Marie Agathe Boddaert	Middelburg
J.J.P. Valeton	Groningen
W.C. van Manen	Noordeloos
B. Dorhout Mees	Garmerwolde
Willem van der Vlugt	Haarlem
Theodoor Carel Gobée	's-Hertogenbosch
F.S. van Nierop	
A.W. Kroon-Star Numan	
Arnold Werumeus Buning	Uithuizen
Frans Netscher	Den Haag
Geertruida Carelsen	Haarlem
Jan Six	
F.J.L. Krämer	
Henri David Levyssohn Norman	Den Haag
Christiaan Snouck Hurgronje	Oosterhout
Adriaan Pit	Den Haag
Elise Knuttel-Fabius	Batavia
Albartus Telting	Leeuwarden
Johannes Mulder	
Joan Bohl	Zierikzee
S.E. Harthoorn	
Willem Pieter Cornelis Knuttel	Maassluis
G.W. Bruinsma	Leeuwarden
Albertus Hendrikus Nijland	Varsseveld
